name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Hurricane,1zX4V0do1HF0Kvo1q1RWmX,40,283089,You Are We,3ZOwCTYw1kIKqrRNSAvKSw,While She Sleeps,38LdIuxB548zgHoEY2AN7a,0.0655,0.189,0,0.341,4,0.501,-4.055,4.21e-05,0.0,0.945,104.533
Born To Die,2BmvafX08HneGOFozVGB6P,45,251739,Chasing Ghosts (Special Edition),3GSta6Iv6ogRJ6kfTxKXTk,The Amity Affliction,6kNKUYGn6VNGsRoXmyoDPK,0.108,0.156,0,0.284,4,0.425,-3.974,0.00432,0.0,0.993,96.043
The Black,4ORXSxr4tV5H6gH5KHAiAh,62,281332,The Black,399w1uaOvKhnkczdMMZYoy,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,0.0627,0.146,0,0.407,11,0.417,-4.152,0.00151,0.0,0.954,96.993
Millennia,10eDxSTjwMBq1ZjZK5b1cK,53,224053,The Resistance: Rise Of The Runaways,2sqQGbM3HtIOVo1bXf4VlQ,Crown The Empire,2vKiJjsgjgqIECUyYeIVvO,0.101,0.214,1,0.205,3,0.46,-4.732,0.0024,0.0,0.951,143.036
Stuck In Your Head,7GM1VLRolfkj43JJz1yJ7j,0,215000,Lifelines,5K75llQRACqCZksVTpuit6,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,0.0411,0.625,1,0.461,9,0.478,-3.722,0.000312,0.0114,0.955,155.046
Chaos,1azjtELUNN1i9wwxm4Bnql,0,212893,Lifelines,5K75llQRACqCZksVTpuit6,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,0.0605,0.603,1,0.282,1,0.483,-4.078,0.00053,0.000242,0.966,154.124
Sleepless In Phoenix,79NnnaifsdmKFdIr1qdU6o,46,225707,Hard Feelings,4ynBCBfxMK2COzPTJ8kma9,blessthefall,7t2C8WwLyKUKRe0LVh8zl9,0.0518,0.11,0,0.123,1,0.459,-4.883,0.000419,0.000171,0.892,105.021
Alone In A Room,0hAIs32U2SmJcXymlcyF8h,68,245861,Asking Alexandria,0dYHTESEegNj0dkIFGWy2d,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,0.0853,0.287,0,0.0466,4,0.482,-3.231,0.00251,0.0,0.946,135.071
Picture Perfect,1WrCs9O004VI7EQoHok6R4,50,231946,Ungrateful (Deluxe),0oDUmbhMjDzh8AeVvyy9xX,Escape the Fate,5ojhEavq6altxW8fWIlLum,0.0361,0.328,0,0.151,0,0.465,-3.97,0.00397,0.0,0.867,155.085
Carry Me,78CQSVlRTxC8YRvIL3MCac,34,228746,Dead by April (Bonus Version),4rAjo9aA3Uf9J7opDSyvF8,Dead by April,2otRZcOVNcmdkZ5nEoogy6,0.0369,0.301,1,0.381,7,0.365,-4.898,0.00571,0.0,0.822,74.993
Why Am I Like This?,1wZy1qIk3qPVv33I9bALi6,61,193653,Violent Noise,7J66HLhb0QYzZ5P19tHcZP,The Word Alive,1CF8aEN939swnuIZGFI7Hk,0.0633,0.23,1,0.322,2,0.321,-3.332,9.78e-05,1.1e-06,0.949,175.103
"Someone, Somewhere - Acoustic Version",1njJX9VnnYvcXPS5S2tYqe,55,216400,"Someone, Somewhere (Acoustic Version)",52YdLbVuVlkDFEp1NNhVy0,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,0.0357,0.38,0,0.0991,7,0.404,-6.624,0.395,0.0,0.667,150.046
True Friends,1KTJmfwrk5pYqsi9mkY3nT,66,232320,That's The Spirit,7FqHuAvmREiIwVXVpZ9ooP,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,0.0837,0.333,1,0.114,7,0.419,-3.12,0.000683,0.0,0.938,160.151
If It Means a Lot to You,6J7cSyvSCnPwv3vqHchEfL,70,243226,Homesick,34eR6ev1GGZHmxNTEfRobW,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,0.0279,0.44,1,0.456,10,0.584,-8.158,0.112,0.0,0.536,126.996
Calm Snow,2EUR6ueSTUDvxCogLDFcnn,58,191766,Treehouse,1orBiFisKrlGxQccwlbuI4,I See Stars,3iCJOi5YKh247eutgCyLFe,0.0833,0.185,0,0.136,2,0.494,-4.128,0.00341,0.000229,0.873,90.003
Miracle,0vYWk3uQezVYj9AU0yn8Mn,46,231137,Wolves,17q9CmOhDYE5vu1wGRWfzi,Story Of The Year,0KDuKk6YdEu3hR56HtXmxt,0.056,0.406,0,0.118,3,0.497,-3.436,0.000806,6.44e-05,0.947,96.01
Cold Like War,6cj5php3EIGptbujJOIy4m,57,226195,Cold Like War,5STyutp8oda9j16ydPh4ZG,We Came As Romans,6qO6LhD6FuXK5e2PtfAIMz,0.0902,0.499,0,0.184,5,0.456,-3.63,0.000148,0.00111,0.968,150.002
Perfect The Way You Are,12tw0TYIJMf1bowLBYWqTp,44,224800,Worlds Collide,3rgz4IjijsFvJwqicCqle3,Dead by April,2otRZcOVNcmdkZ5nEoogy6,0.0463,0.266,1,0.327,11,0.431,-4.047,0.00969,0.00473,0.847,134.826
Until the Day I Die,0DKNNR9iDjwfCEpMiFXMJq,68,235200,Page Avenue (US Non-PA Version),4juejyEeCKFskkDA6zhIBW,Story Of The Year,0KDuKk6YdEu3hR56HtXmxt,0.0984,0.534,0,0.0504,11,0.597,-4.591,0.127,0.0,0.931,92.003
Don't Need You,2YaMmtXaoUePsEwUofu5q6,51,290269,Gravity,28sCbClwbAhHN6ovutizQg,Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,0.169,0.0517,0,0.0608,4,0.192,-5.476,0.00017,0.0,0.948,151.945
Do You Love Me?,0RbZIMEPbt1ptD61ox3RWc,40,186279,Do You Love Me?,3Ez3OaP3GbStWmEv25xduo,Escape the Fate,5ojhEavq6altxW8fWIlLum,0.0711,0.418,0,0.312,11,0.523,-4.942,0.00417,0.0,0.914,113.015
Breathe Underwater,6rKbCZwk0bdcJ1BU96CuW5,51,221157,Gravity,28sCbClwbAhHN6ovutizQg,Bullet For My Valentine,7iWiAD5LLKyiox2grgfmUT,0.0291,0.24,0,0.0695,4,0.384,-10.031,0.342,0.0,0.451,77.999
Already Over,3SP1LUtLle97QNFvFFopnG,54,264946,End Of Silence,3ntOXFMHUPIedU3l2QNE0n,Red,01crEa9G3pNpXZ5m7wuHOk,0.0391,0.17,0,0.0943,5,0.419,-6.577,0.00295,0.0,0.673,103.017
Inside Out,1tWoGszhi84GsLHB7zIP6H,55,189290,blacklist_,2s8F3nGWElyD5w4klZVq3f,Dangerkids,3N7q5meGCAvpjRAr2U8OX5,0.0513,0.51,0,0.217,1,0.42,-5.732,0.00059,0.0,0.858,155.013
Every Second,16EpIUM2ctRKZBltHR2Jrb,52,214528,Day One (Deluxe),1RiSdYoSP9FX5CKG7JYYbr,From Ashes to New,4HrkLxQHZ5mgCtIVpiH5QX,0.0678,0.311,1,0.156,3,0.542,-4.696,0.00193,6.19e-06,0.945,154.987
Playing With Fire,4izgrNgJkr8AUbrhZbHrJx,46,235773,Worlds Collide,3rgz4IjijsFvJwqicCqle3,Dead by April,2otRZcOVNcmdkZ5nEoogy6,0.0633,0.571,0,0.305,11,0.51,-5.008,3.27e-05,0.503,0.976,112.497
It Has Begun,2TnQihgJNCEm434cdKj3Jl,48,316812,Transmissions,4A6ryVDbHXwpIypcTaKl5a,STARSET,0kD8IT1CzF7js2XKM9lLLa,0.0675,0.123,1,0.186,5,0.254,-6.513,0.00876,0.0012,0.724,127.888
Gemini (feat. Jonny Craig),37HWizYgRKyBa323UMHO2q,46,243382,Catalyst,7CKezs2JXV96MjaWZXD9z5,"Whether, I",4Aj0O9rKeafoD0ud4kS8eH,0.107,0.375,0,0.101,11,0.386,-2.577,0.000815,0.0,0.966,169.957
Perspectives,78mnmdy9e0c3NaZeIesI4j,43,237786,Dissonants,2rwZyMtlv2x2o8vv1nQSia,Hands Like Houses,0u3d5PM2FuEuG5QuUdt8mT,0.0984,0.351,0,0.13,2,0.403,-3.369,0.000156,0.0,0.947,165.956
Eyes Wide Shut,3txmLx5EYRlIFYvHm2sS0R,43,229874,Conquer Divide,0pBU4fD476MFTmvHs9trtP,Conquer Divide,4ZznAOb4aE3va5Jz1iDpjc,0.13,0.28,0,0.533,6,0.414,-4.289,0.00028,0.0,0.958,159.951
Red Clouds,1N54Dn1u4LmQOhRPIg9Rii,51,233120,Violent Noise,7J66HLhb0QYzZ5P19tHcZP,The Word Alive,1CF8aEN939swnuIZGFI7Hk,0.0906,0.303,0,0.0826,8,0.482,-4.028,0.000309,2.03e-05,0.949,116.038
The Other Line,3eoEriMHjKEpyNa2BFmdSm,57,209693,"Get Lost, Find Yourself",5jAkJlpRcL7CGmBcApdNjW,"Chunk! No, Captain Chunk!",03jrbNTeSKP9m161juhm0h,0.155,0.45,0,0.224,1,0.39,-3.735,8.2e-05,0.502,0.942,167.04
Dreamcatcher,2rYKc37Ahg3JP7fAMFb8G0,36,213000,Dreamcatcher,6D2aDKDGu4nPylvEfP5l4g,"Whether, I",4Aj0O9rKeafoD0ud4kS8eH,0.195,0.386,1,0.32,7,0.416,-2.166,0.000501,1.54e-06,0.962,159.85
Sink Your Teeth into This,3E74EHiYMjdwqtWsUmayjo,42,200400,Conquer Divide,0pBU4fD476MFTmvHs9trtP,Conquer Divide,4ZznAOb4aE3va5Jz1iDpjc,0.204,0.295,0,0.4,11,0.424,-2.925,0.00435,0.0,0.978,149.843
Glass on Water,0l3qzQyywE4mMCVq5Unj2s,38,221805,blacklist_,2s8F3nGWElyD5w4klZVq3f,Dangerkids,3N7q5meGCAvpjRAr2U8OX5,0.0589,0.413,1,0.375,8,0.479,-5.485,0.000581,0.0,0.924,108.019
Didn't Need a Reason,4fmXw57ioxnjc8FxyouN28,48,273727,Without a Sound,7aEISU4g4gOjZDJV1ytExj,Speech Patterns,5dIfnkclImFkRSKrSVLt3e,0.0928,0.276,0,0.332,8,0.495,-3.158,0.000241,0.0512,0.975,110.004
Division Symbols,0VGNnnuZRtbPL8vy6hIit8,56,220640,Dissonants,2rwZyMtlv2x2o8vv1nQSia,Hands Like Houses,0u3d5PM2FuEuG5QuUdt8mT,0.0738,0.547,0,0.44,11,0.452,-3.085,0.000443,1.15e-05,0.961,162.036
Let Down,3CwzV42BwEDA4i3gSf5EjW,59,217413,Palisades,4EVx04ReWjD3Xr318eSvyt,Palisades,2w6slVluzWlwADP8aB5yz5,0.0417,0.251,0,0.316,7,0.576,-6.588,0.00538,0.0,0.813,147.885
When Everything Means Nothing,6flVma0AxUUYk4Pq96MtQt,37,231588,When Everything Means Nothing,0kDlGsVKzAfRg605JUOBrS,Fit For A King,0OgdRTPItr9dw4XYp4JJUx,0.0817,0.504,0,0.769,5,0.433,-4.33,3.89e-05,0.00031,0.929,160.048
No Parallels,1L5xqXPNTA7s1nkzgJX0xU,52,217133,Unimagine,3JMwITCPEvMFFkNYtcIAzG,Hands Like Houses,0u3d5PM2FuEuG5QuUdt8mT,0.0708,0.687,1,0.158,5,0.414,-5.475,0.00141,0.0,0.913,160.087
Broken Heart,5LV0oQV98daZAUoWnQEW6N,63,187371,I Am Human,0b4KJR48ZibGZafb5sviX3,Escape the Fate,5ojhEavq6altxW8fWIlLum,0.0518,0.591,1,0.268,2,0.528,-4.309,0.0108,0.0,0.861,95.02
Running With Scissors,6HjkNCwInDttzD7jZcbBFz,57,262256,Treehouse,1orBiFisKrlGxQccwlbuI4,I See Stars,3iCJOi5YKh247eutgCyLFe,0.0428,0.336,0,0.126,10,0.548,-2.58,0.00182,3.85e-05,0.94,135.046
What's Left Inside,4yminutCcJdm9ekHu4leEH,44,273144,Conquer Divide,0pBU4fD476MFTmvHs9trtP,Conquer Divide,4ZznAOb4aE3va5Jz1iDpjc,0.0554,0.455,0,0.576,11,0.457,-3.191,0.000627,0.0,0.924,96.004
Crying Over You,4cfEA7zQhaQpkhUFonoOPw,59,265226,Worlds Collide,3rgz4IjijsFvJwqicCqle3,Dead by April,2otRZcOVNcmdkZ5nEoogy6,0.104,0.466,0,0.346,8,0.38,-4.576,0.00131,0.536,0.957,180.013
Déjà Vu,58yjCfI67FpnmBmlc5HX59,48,234580,Without a Sound,7aEISU4g4gOjZDJV1ytExj,Speech Patterns,5dIfnkclImFkRSKrSVLt3e,0.0426,0.226,1,0.386,7,0.437,-3.917,0.00611,7.34e-05,0.895,154.991
Hollow Bodies,2ptvMNky2NB76kLNmjBVL3,58,257866,Hollow Bodies,0DwhxjTcmausDipXTYIqNp,blessthefall,7t2C8WwLyKUKRe0LVh8zl9,0.153,0.178,1,0.487,8,0.339,-2.508,3.11e-05,0.445,0.967,153.531
ANTI-SOCIAL,3K5KB690MndJWqBFRxXSbL,48,258869,ANTI-SOCIAL,2rxHXaQQLBSk4r2U91hkqD,While She Sleeps,38LdIuxB548zgHoEY2AN7a,0.11,0.245,0,0.0701,4,0.53,-6.554,0.00315,0.00147,0.943,140.023
I Want It That Way,6e40mgJiCid5HRAGrbpGA6,79,213600,The Hits--Chapter One,1NslKOZobWxINFaFkLol3r,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,0.0261,0.484,0,0.159,6,0.689,-5.642,0.216,0.0,0.702,99.031
Quit Playing Games (With My Heart),1nRwyxNsqCLeA17qR8Nfxx,62,233533,Backstreet Boys,0wvQovgaVU99eqw8n3g22S,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,0.0338,0.882,0,0.13,11,0.8,-4.952,0.0615,2.79e-06,0.875,100.033
As Long as You Love Me,6bH2owMgMDNW6zygbotS49,13,221106,Backstreet's Back,5oEljuMoe9MXH6tBIPbd5e,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,0.0305,0.826,1,0.215,0,0.804,-4.892,0.275,3.29e-05,0.801,98.12
Larger Than Life,6sbXGUn9V9ZaLwLdOfpKRE,69,232826,Millennium,5ySxm9hxBNss01WCL7GLyQ,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,0.037,0.75,0,0.617,0,0.661,-2.994,0.11,1.74e-05,0.973,108.037
Show Me the Meaning of Being Lonely,3BsaRV5QIulYz2lV9WWa8T,68,234960,Millennium,5ySxm9hxBNss01WCL7GLyQ,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,0.0252,0.683,0,0.0765,6,0.63,-5.088,0.231,0.0,0.625,167.998
