,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
98,Telefone,18Scpsg5OV1iYNtSaCsjwz,Noname,1EpyA68dKpjf7jXmQL88Hy,311000,1h2LHhmyAXi8tPNLi806JA,"Shadow Man (feat. Phoelix, Smino & Saba)",61,0.469,0.611,0.454,1.52e-06,0,0.189,-7.436,0,0.201,93.004,0.444
99,Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,173158,5DO1SazQppcsKQ1c1JpyQz,Hol' Up,57,0.781,0.607,0.869,0.0,5,0.137,-5.271,1,0.345,155.983,0.577
100,Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,224671,5v501hmUMvbHPKa7qm0MGD,F*ck Your Ethnicity,53,0.392,0.601,0.883,1.93e-05,0,0.397,-6.944,1,0.328,150.967,0.52
101,Overly Dedicated,7MoLQ8vckhwBbQqEYQTYQC,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,210494,53mCo1wDJ12iZNq9LgIeg2,Ignorance Is Bliss,49,0.511,0.644,0.801,8.59e-06,7,0.614,-4.55,1,0.387,82.156,0.764
102,Overly Dedicated,7MoLQ8vckhwBbQqEYQTYQC,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,361942,6TRVvpoVFwyYyIGTFh0Y7P,P&P 1.5,47,0.299,0.55,0.692,6.57e-06,6,0.198,-7.438,0,0.369,146.453,0.593
103,Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,304668,705u4LfXcTBuDOB8UCy0A7,Kush & Corinthians,50,0.726,0.383,0.731,0.0,1,0.504,-5.996,1,0.201,176.781,0.306
104,Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,350001,2FTGmG9PvlXEERkb1sYBE3,Ab-Souls Outro,46,0.116,0.471,0.839,0.0,5,0.658,-6.852,0,0.379,115.79,0.639
105,Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,320957,12bCgkFnyyTI8B1OmmRhbx,The Spiteful Chant,57,0.0506,0.596,0.783,0.0,0,0.181,-4.356,0,0.0313,127.018,0.334
106,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,130893,2umxjPqGGkrBdxKx0835gC,For Free? - Interlude,3,0.588,0.526,0.896,0.0,8,0.37,-4.708,1,0.197,129.313,0.745
107,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,271773,5kqQoLsjAHHxXmVe4oBT83,Institutionalized,6,0.112,0.539,0.731,1.19e-06,3,0.129,-5.085,0,0.453,81.114,0.568
108,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,291720,6I8qWAvgjKEOH2dfuYqxKu,For Sale? - Interlude,3,0.442,0.301,0.686,0.000115,2,0.121,-8.36,1,0.0831,79.036,0.276
109,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,292520,4r3ZKk0ShOoVrzrFnyjAWw,Hood Politics,5,0.145,0.731,0.661,0.0,6,0.12,-6.562,0,0.376,87.912,0.369
110,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,283120,4c7obYnJE084ZBtxnHIRVt,Momma,4,0.254,0.615,0.743,0.0,1,0.665,-4.58,1,0.325,111.914,0.515
111,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,328826,0mRxPVluGvxD6TitLPcbYt,The Blacker The Berry,6,0.00713,0.553,0.852,0.0,10,0.463,-4.08,0,0.305,176.058,0.27
112,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,241680,46lAAW4MoITmo8D4UAHfMB,You Ain't Gotta Lie (Momma Said),4,0.455,0.443,0.635,2.07e-05,11,0.285,-5.404,0,0.223,93.742,0.672
113,To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,261746,3BNjuJBicYBzcgos3TPlOx,How Much A Dollar Cost,6,0.415,0.624,0.729,0.0,1,0.135,-4.747,1,0.198,87.948,0.334
114,Drunk,7vHBQDqwzB7uDvoE5bncMM,Thundercat,4frXpPxQQZwbCu3eTGnZEw,214554,2ZIHKdsXfOS3cZoGRD2vGL,Show You The Way,49,0.145,0.699,0.515,0.094,0,0.102,-10.325,1,0.0669,75.988,0.609
115,Bored To Death,7fLWWLAmqWQh2xk3mFX4I5,blink-182,6FBDaR13swtiWwGhX1WQsP,235613,34hoCwSsssai61QCqzGYtX,Bored To Death,55,0.00575,0.502,0.966,1.56e-06,0,0.117,-3.876,1,0.0946,159.948,0.638
116,La La Land (Original Motion Picture Soundtrack),5p0H50uFCdWTpLY640HoPc,Justin Hurwitz,2snm3HmsnDUDxbIChdl2Oj,459466,1FSYWdhztV0JtXbxa5JpXq,"Epilogue - From ""La La Land"" Soundtrack",9,0.657,0.3,0.273,0.832,7,0.516,-11.504,1,0.0526,67.06,0.131
117,Malibu,4VFG1DOuTeDMBjBLZT7hCK,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,176693,276zciJ7Fg7Jk6Ta6QuLkp,Come Down,64,0.328,0.82,0.908,0.00155,10,0.296,-6.151,0,0.124,98.381,0.919
118,United,67Eq3nfl1km9s5ig76Cc8B,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,151666,1LeWIs2hP2r5yOQnVuYoI5,Ain't No Mountain High Enough,28,0.43,0.663,0.6,0.0,7,0.184,-10.87,1,0.032,129.991,0.8
119,Curtis (Expanded Edition),3tgJmEz0R0ZsRSrpwafp4R,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,535333,01gDLZsi0j5fWC28FLPNO8,Move On Up - Extended Version,62,0.141,0.584,0.975,0.501,11,0.101,-6.534,0,0.0651,138.341,0.876
120,Whiplash (Original Motion Picture Soundtrack),7A0R962haXM0ULFWDlyq7u,John Wasson,3kfJcLXiDvbTG7qMQHVB6c,554889,14NEfQx2TKjP3sPO2MaxJI,Caravan,5,0.00605,0.423,0.748,0.835,8,0.0754,-9.982,1,0.0808,104.054,0.429
121,Whiplash (Original Motion Picture Soundtrack),7A0R962haXM0ULFWDlyq7u,Hank Levy,542qEE4zFUrLQjWNMaOrbc,115288,49KJglv5FCTF9FYf8zJd3o,Whiplash,4,0.396,0.591,0.767,0.586,5,0.265,-4.673,1,0.0633,107.578,0.869
122,Live. Places.,3vQAlZLKTfqw58pLB0gwHz,Youngblood Brass Band,5QJZUg9ngYII5FkgAGFgW7,425466,20D61egfxKE9pp3Ffx99Xz,Brooklyn,2,0.0778,0.427,0.879,0.184,5,0.869,-6.474,0,0.24,93.347,0.713
123,Rock With The Hot 8 Brass Band,5a7ojhLaAaeiLqBeS3ej96,Hot 8 Brass Band,1lvVzEkQ4u72rrZ7bNUkcD,535013,7zEoae6QGC00PQodm9WId8,Sexual Healing,5,0.099,0.473,0.588,0.0653,1,0.0532,-3.419,1,0.0651,102.978,0.362
124,Crew (feat. Brent Faiyaz & Shy Glizzy),4Ysy1MEXCD5HjO0VBDfBgj,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,177406,3jEtESxn2ngF25DMD6vbBg,Crew (feat. Brent Faiyaz & Shy Glizzy),45,0.117,0.727,0.602,0.0,1,0.0833,-8.42,0,0.133,129.952,0.418
125,DAMN.,7wbJhbCvhPfbK1CLAkpq25,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,248613,0CA3A2LhGO9cdx6z5EETy2,DUCKWORTH.,10,0.0457,0.549,0.736,0.0,1,0.267,-6.883,1,0.681,177.021,0.627
126,ALL-AMERIKKKAN BADA$$,6swV0WUnPygRIMgEKn6Ige,Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,207058,4ntsD33Pgsgk8rUyZLLiUV,DEVASTATED,71,0.0634,0.812,0.628,0.0,10,0.254,-6.164,0,0.0682,123.004,0.485
127,ALL-AMERIKKKAN BADA$$,6swV0WUnPygRIMgEKn6Ige,Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,244197,7L9g4cPfohScjJ8mGwLQWr,TEMPTATION,68,0.397,0.775,0.707,0.0,10,0.874,-5.339,0,0.152,104.979,0.78
128,"And After That, We Didn't Talk",3tlDQco8P9HFoR5CRC1BCj,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,213333,1fpfYMT2RTc5W3Zluq5xVA,Palm Trees,54,0.235,0.685,0.61,0.0,2,0.164,-9.294,1,0.487,127.932,0.777
129,Smile Good,0js0LifyH653EoIQos9xv5,Jay Prince,2TLYSzGyVYkxAgYSCqUnQj,206769,5mSJgLW43dmFEMK50ECr0S,"Father, Father",50,0.0498,0.629,0.749,0.0104,1,0.494,-5.414,1,0.0674,130.016,0.69
130,Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,215791,6jl01C724Mk68qlOQLco5I,Blow My High (Members Only),57,0.316,0.959,0.524,0.0,9,0.274,-8.145,0,0.274,119.933,0.84
131,"""Awaken, My Love!""",4xnq1L6P551Qcb9gBXNMK7,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,326933,3kxfsdsCpFgN412fpnW85Y,Redbone,80,0.172,0.745,0.356,0.00943,1,0.123,-10.425,1,0.0941,160.033,0.607
132,At What Cost,18JrBX1QkpnUSJF3oxX6RX,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,176702,15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),73,0.133,0.728,0.607,0.0,1,0.0864,-8.417,0,0.132,129.938,0.445
133,Thinking In Textures,1lqdYmOceSVAulxV7YuD7L,Chet Faker,2Q0MyH5YMI5HPQjFjlq5g3,221533,2xD7RvKFJl52xyds3wQFXQ,No Diggity,58,0.675,0.578,0.77,0.000178,2,0.101,-4.858,0,0.258,160.862,0.488
134,Lies We Told,6dv47Bjm2WFWRlNH8OFT6K,Fallen Roses,5I6WLC9Auo6aeTRHPQbdOv,170588,2Yi7Bh4OFdRfgzWptNR8Ob,Lies We Told,2,0.845,0.762,0.18,0.927,3,0.0779,-18.287,1,0.0499,101.809,0.17
135,Tuxedo,5tD7xrX0TjRHaGCbSFDz3D,Tuxedo,0CCqHvxGgfjJzwzQzmPlEr,258502,1NFjjAIK4IWjDLzpMry0Kp,Do It,2,0.0642,0.818,0.858,0.256,1,0.256,-4.219,0,0.0398,119.605,0.753
136,The Walking Dead (AMC’s Original Soundtrack – Vol. 1),6dpT05za5nh7IQWtfBdfEK,Jamie N Commons,2FsZnS8gQ8jG1HGnPYNlm9,117426,3VLdNTLmKpXu79TMCeRbLO,Lead Me Home - The Walking Dead Soundtrack,6,0.795,0.537,0.279,0.000146,6,0.118,-11.028,1,0.0289,104.403,0.168
137,Cole World: The Sideline Story,4skqOUXyBUnzxVPNPxrGWV,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,283066,7nWxZ1OWN4gtVH1mplNRxV,Dollar and a Dream III,29,0.516,0.42,0.726,0.0,3,0.0907,-7.113,0,0.415,76.585,0.316
138,Cole World: The Sideline Story,4skqOUXyBUnzxVPNPxrGWV,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,225960,20wR5XQpaL1uvVY8gmc4uY,Can't Get Enough,41,0.139,0.768,0.62,0.0,2,0.521,-7.399,1,0.0658,132.035,0.589
139,She's A Queen: A Collection Of Greatest Hits,1AgbCjeyXU1aijcGvusVYm,Queen Latifah,5m7wCUhYhBh7A3A3YMxrbt,263453,2yWqv2rNsIBgsoaZSf3THD,Just Another Day...,0,0.00258,0.521,0.715,1.85e-05,7,0.256,-7.011,1,0.313,174.017,0.239
140,She's A Queen: A Collection Of Greatest Hits,1AgbCjeyXU1aijcGvusVYm,Queen Latifah,5m7wCUhYhBh7A3A3YMxrbt,251906,6IA63Wf2Onw1kq9ur1ygFi,U.N.I.T.Y.,6,0.00561,0.659,0.738,0.0,4,0.319,-4.077,0,0.362,93.796,0.516
141,"good kid, m.A.A.d city (Deluxe)",748dZDqSZy6aPXKcI9H80u,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,279146,6P6HGbOoWUynE2U7yLwLnY,Black Boy Fly - Bonus Track,47,0.108,0.593,0.731,1.52e-06,1,0.103,-5.21,1,0.149,160.084,0.61
142,"good kid, m.A.A.d city (Deluxe)",748dZDqSZy6aPXKcI9H80u,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,256213,0NfYAsKygCYwPA2BgTZ1qg,Now Or Never - Bonus Track,50,0.264,0.528,0.708,0.0,7,0.305,-5.879,0,0.207,97.8,0.781
143,"good kid, m.A.A.d city (Deluxe)",748dZDqSZy6aPXKcI9H80u,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,310720,5h5tBFnbcVioFXiOixTn6E,"Bitch, Don’t Kill My Vibe",65,0.0152,0.587,0.698,0.0,1,0.442,-8.948,1,0.0943,133.954,0.0985
144,Caress Your Soul,1dpC5MkRXeSEwnMMWG6t2z,Sticky Fingers,3ZGr7nQBXDU2WhyXgRVbt0,174346,2YTrgbxNPcqzSXQY9acap9,Clouds & Cream,57,0.0816,0.659,0.89,2.69e-05,6,0.112,-8.446,1,0.057,90.005,0.612
145,Caress Your Soul,1dpC5MkRXeSEwnMMWG6t2z,Sticky Fingers,3ZGr7nQBXDU2WhyXgRVbt0,205786,4iURgDfsolmCJtknzWuyxj,These Girls,63,0.327,0.358,0.585,2e-06,6,0.0864,-8.762,1,0.0776,185.392,0.407
146,Caress Your Soul,1dpC5MkRXeSEwnMMWG6t2z,Sticky Fingers,3ZGr7nQBXDU2WhyXgRVbt0,177306,1FQWjcHMI298Plgx468LT2,Caress Your Soul,59,0.00131,0.556,0.872,0.0,6,0.0945,-7.46,0,0.0416,109.9,0.601
147,Caress Your Soul,1dpC5MkRXeSEwnMMWG6t2z,Sticky Fingers,3ZGr7nQBXDU2WhyXgRVbt0,195440,2IjSsoIQB0vcWiWCQNurMP,Let It All Out,50,0.395,0.57,0.604,2.19e-05,0,0.912,-9.48,1,0.0306,106.975,0.531
148,Caress Your Soul,1dpC5MkRXeSEwnMMWG6t2z,Sticky Fingers,3ZGr7nQBXDU2WhyXgRVbt0,258746,1RLa4k4zTZkkWz0gApGipO,Kiss The Breeze,54,0.122,0.498,0.54,0.0,11,0.0872,-9.62,0,0.0477,133.116,0.641
149,Blank Face LP,1EvvUDj0DKb0O3Dzxx4h4V,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,219026,0wOfHhyR1IBIiokLNmzHdS,JoHn Muir,3,0.0776,0.688,0.923,0.0,2,0.232,-4.815,1,0.21,160.082,0.647
150,DAMN.,7wbJhbCvhPfbK1CLAkpq25,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,227360,7zjRBaNkVjk1vZ8JqxQIXO,LOYALTY. FEAT. RIHANNA.,19,0.021,0.681,0.523,0.0,9,0.178,-8.963,0,0.0542,110.812,0.473
151,DAMN.,7wbJhbCvhPfbK1CLAkpq25,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,185946,4cGeMgLcykDLAazHFpbZbU,DNA.,23,0.00402,0.636,0.517,0.0,0,0.0874,-6.759,1,0.36,139.928,0.394
152,DAMN.,7wbJhbCvhPfbK1CLAkpq25,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,177000,7ujx3NYtwO2LkmKGz59mXp,HUMBLE.,28,0.000243,0.906,0.625,3.23e-05,1,0.0975,-6.779,0,0.0903,150.018,0.423
153,Caress Your Soul,1dpC5MkRXeSEwnMMWG6t2z,Sticky Fingers,3ZGr7nQBXDU2WhyXgRVbt0,219026,0O0M44llUQuPdJAkROQRch,Australia Street,64,0.0219,0.472,0.69,0.0,9,0.0992,-8.092,0,0.0443,77.478,0.512
154,Lupe Fiasco's Food & Liquor,0TDJRkEr2SrhWTetdkEzED,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,226653,4vheUbZGsFWPpbJrir4Ocw,The Cool,40,0.157,0.646,0.862,0.0,7,0.424,-5.272,0,0.244,94.186,0.41
155,Éter,5S71TKsxpeudKOiZ4smyrW,Scalene,4PTd1rpXV7XDffOuLY7M0z,159093,0rLpRo2nPKHQHJfRdqwlTv,Náufrago,33,0.0361,0.368,0.992,0.00868,8,0.0912,-3.952,0,0.118,158.175,0.384
156,Éter,5S71TKsxpeudKOiZ4smyrW,Scalene,4PTd1rpXV7XDffOuLY7M0z,165173,6XNTRqIDa9xxuUC1ELo5Fb,Legado,34,0.0159,0.419,0.771,0.007,7,0.104,-6.983,0,0.0621,133.266,0.465
157,The Heart Part 4,67pL2VfWX7t1XsvK1TGa4G,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,288554,1zayuwd1YLZsYDArkruHdL,The Heart Part 4,52,0.501,0.672,0.434,0.000125,9,0.272,-15.218,0,0.765,129.209,0.54
158,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,50 Cent,3q7HBObVc0L8jNeTe5Gofh,269351,4Jp4T5gbCLQzGz545Jb3NY,High All The Time,49,0.0297,0.66,0.911,0.0,11,0.0696,-1.768,1,0.289,87.311,0.501
159,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,316920,2RbOqhmA2S1YkyUcIMkjmO,Foldin Clothes,6,0.216,0.695,0.496,0.000325,7,0.0759,-10.06,0,0.308,161.996,0.618
160,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,482830,5CQ30WqJwcep0pYcV4AMNc,Stairway To Heaven,77,0.58,0.338,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,0.197
161,Led Zeppelin IV,1Ugdi2OTxKopVVqsprp5pb,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,211466,55sjCMeQM26VxbNHhMtj2b,Going To California,56,0.892,0.495,0.237,0.00638,2,0.0865,-17.701,1,0.0333,77.376,0.541
162,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,264746,1oqdOL4Zl4nRXoaGRWLUke,Deja Vu,15,0.354,0.663,0.411,0.00016,9,0.179,-11.457,1,0.421,174.002,0.171
163,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,194346,6GcbBAKai96tJVSbc4Cuqr,Ville Mentality,7,0.792,0.864,0.365,0.000181,7,0.118,-8.387,0,0.0923,119.949,0.637
164,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,209080,63PJEtaDQNx3BfJTqEY39c,She's Mine Pt. 1,6,0.759,0.436,0.21,0.115,2,0.258,-15.099,1,0.0659,139.744,0.0485
165,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,331480,6yIjZliWeKDstbA70wYwm0,Change,9,0.66,0.553,0.523,0.00102,11,0.0964,-10.602,0,0.254,96.113,0.232
166,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,530253,2qsdIPr4GuAYsigQMU1LyE,4 Your Eyez Only,9,0.385,0.674,0.483,5.9e-05,11,0.0853,-10.479,0,0.368,78.817,0.501
167,4 Your Eyez Only,71DEqZQPK1OhGtZ9bNtbcc,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,278920,2rAtKDT2787d8drfCuoNfY,She's Mine Pt. 2,5,0.774,0.476,0.195,0.00347,2,0.114,-15.176,1,0.113,64.639,0.048
168,Inside In / Inside Out,03JPFQvZRnHHysSZrSFmKY,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,206932,0UDFYzrb5copPflRuheuPJ,I Want You,43,0.0117,0.244,0.854,0.0,5,0.129,-6.138,1,0.134,168.408,0.239
169,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,50 Cent,3q7HBObVc0L8jNeTe5Gofh,196626,6mcu7D7QuABVwUGDwovOEh,If I Can't,61,0.265,0.886,0.626,0.0,11,0.024,-2.528,0,0.277,93.989,0.856
170,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,173680,3DQVgcqaP3iSMbaKsd57l5,I Bet You Look Good On The Dancefloor,71,0.00225,0.535,0.948,0.0,6,0.376,-4.19,0,0.0356,103.183,0.778
171,Mountain At My Gates,7jOQvV1SNhYhWj5yiyW88V,Foals,6FQqZYVfTNQ1pCqfkwVFEa,244293,2n3JZ0r4oIQaDQDW4yjVpq,Mountain At My Gates,43,0.0025,0.495,0.931,0.0783,2,0.246,-5.336,0,0.0469,104.05,0.617
172,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,50 Cent,3q7HBObVc0L8jNeTe5Gofh,224440,70FCugJxa7XW04Np6iYJdI,21 Questions,66,0.349,0.646,0.813,9.37e-05,6,0.0427,-3.846,0,0.299,92.729,0.895
173,Born Sinner,1NfrmcXk8xNennyxQ57JcW,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,225866,0aKjN6mBKSMmP3TpfezOxM,Miss America,52,0.00431,0.498,0.678,0.000951,9,0.142,-7.407,0,0.141,172.191,0.205
174,Born Sinner,1NfrmcXk8xNennyxQ57JcW,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,277200,26RcjBcThMrZ8KvsqApOvN,Let Nas Down,56,0.0256,0.458,0.74,0.0,9,0.296,-5.65,0,0.245,79.255,0.37
175,Black On Both Sides,4jZI8SruF5N6sKJoWItEhl,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,309986,0B5sTVITVOME8digINZ39M,Brooklyn,1,0.0386,0.496,0.888,0.0,1,0.273,-6.171,1,0.325,94.663,0.673
176,Torches,7Kmmw7Z5D2UD5MVwdm10sT,Foster The People,7gP3bB2nilZXLfPHJhMdvc,214080,5fgb3Md1xjt3mxeBqguiIA,I Would Do Anything for You,60,0.0372,0.597,0.848,2.33e-05,0,0.122,-5.841,1,0.0308,128.009,0.437
177,What Went Down,4uIDigk79DeZEYV6Z5Yf4s,Foals,6FQqZYVfTNQ1pCqfkwVFEa,244293,53L6A3I9vf7rgEZnMzx54E,Mountain At My Gates,65,0.0025,0.495,0.931,0.0783,2,0.246,-5.336,0,0.0469,104.05,0.617
178,Hall Of Fame,3j5e6ptSj2JQeI169yH0lh,Big Sean,0c173mlxpT3dSFRgMO8XPh,303266,7LlK43t856txlzdxctWa93,Nothing Is Stopping You,18,0.0842,0.725,0.606,0.0,2,0.219,-6.295,1,0.176,139.914,0.209
179,Rolling Papers,6ZOXiVL8rmk2ATHJiFJhiD,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,217666,5A6OHHy73AR5tLxgTc98zz,Black And Yellow,71,0.0646,0.684,0.834,0.0,2,0.271,-4.524,0,0.0675,164.02,0.538
180,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,50 Cent,3q7HBObVc0L8jNeTe5Gofh,193466,7iL6o9tox1zgHpKUfh9vuC,In Da Club,74,0.255,0.899,0.713,0.0,6,0.0708,-2.752,0,0.366,90.051,0.777
181,Melophobia,2hvgnujpTiyjBxv9gLpmss,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,229346,4zf0YxjawF0Ao3aiLEbCED,Come A Little Closer,11,0.0208,0.452,0.795,1.38e-06,6,0.171,-1.797,0,0.0315,147.961,0.341
182,Pearl,25fli8PlxpP10WpirvDpMT,Rubel,0slVGXBggrLglTLNKbeEyW,251400,1qwamT1qN521FuTtOaOt4P,O Velho e o Mar,51,0.697,0.573,0.34,9.26e-05,8,0.0786,-12.041,0,0.0283,92.321,0.451
183,Pearl,25fli8PlxpP10WpirvDpMT,Rubel,0slVGXBggrLglTLNKbeEyW,394706,76bcaYeKOKTrj9lEc9BZFU,Quando Bate Aquela Saudade,61,0.895,0.55,0.314,0.0107,7,0.188,-14.133,1,0.0326,90.088,0.595
184,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,219173,30Chv2SmIry70YwtmtaKnj,Hello,60,0.0774,0.631,0.7,1.19e-05,9,0.106,-8.565,0,0.212,159.973,0.329
185,Born Sinner,1NfrmcXk8xNennyxQ57JcW,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,217240,7ncDwhSTgCZuL3OZNkvZ97,Niggaz Know,53,0.0334,0.709,0.687,1.7e-06,10,0.103,-7.394,0,0.174,138.046,0.327
186,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,875306,01VGA34ATxwp0Xo1ldduo2,Note to Self,57,0.855,0.652,0.455,0.0,8,0.171,-8.673,1,0.115,83.151,0.325
187,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,264213,4txn9qnwK3ILQqv5oq2mO3,03' Adolescence,63,0.389,0.518,0.809,0.0,1,0.275,-6.362,1,0.566,146.216,0.261
188,"Forest Hills Drive: Live from Fayetteville, NC",1yZC8xZwv4gsmCZ4p4JWdI,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,286586,1O02UzJKK7njDp3lQqLhUm,G.O.M.D. - Live,45,0.0507,0.704,0.762,0.0,1,0.893,-8.582,1,0.305,132.205,0.234
189,The Come Up,3bgYigYVfRCIsE3lm1GQga,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,131306,3r0XYxmqke8eqbrFwpkpZv,The Come Up,23,0.361,0.518,0.68,0.0,0,0.73,-12.09,1,0.429,62.919,0.63
190,Born Sinner,1NfrmcXk8xNennyxQ57JcW,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,271813,5u89YD9CJMFVfFqUoeGy2P,New York Times,54,0.291,0.365,0.655,0.00037,8,0.164,-6.957,1,0.311,171.333,0.31
191,Born Sinner,1NfrmcXk8xNennyxQ57JcW,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,165400,1PQAocUDoT1Q90Sabu1MTu,Is She Gon Pop,55,0.0826,0.547,0.747,1.48e-05,4,0.231,-8.597,0,0.351,83.295,0.216
192,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,293040,1HNs07uZxZniPNmniw2GTa,Apparently,68,0.564,0.801,0.543,0.0,5,0.116,-9.236,1,0.091,133.982,0.534
193,2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,239320,6Ius4TC0L3cN74HT7ENE6e,Wet Dreamz,77,0.0752,0.504,0.705,0.0,6,0.128,-8.205,0,0.364,175.483,0.584
