name,id,popularity,duration_ms,album,album_id,artist,artist_id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
Confia Na Tua Amiguinha,1cGCT2UuSfJpTxggLF1iOf,59,184615,Confia Na Tua Amiguinha,3guZiwMKVuqyoduJWtJ9Hd,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,0.0446,0.707,1,0.0699,2,0.763,-6.955,0.304,0.0,0.53,86.65
La Raba,2DBOXzdYRvfEU7XkwghDDr,47,165196,La Raba,2XjHW7goyhWyEo2uGi98Me,Lincoln & Duas Medidas,33tvLva7hFpC9ajAxwyPkV,0.0568,0.376,0,0.0904,6,0.721,-4.884,0.047,0.00228,0.935,137.991
Subindo e Descendo,1BtVRv2dNkp8OSzDiT7h7P,46,207284,Subindo e Descendo,0qYcGBUJpN9TZyRWsM3TGl,Psirico,20L3gYREq24KddkFreyiNv,0.0948,0.823,1,0.676,9,0.827,-2.513,0.62,3.82e-06,0.939,120.047
Quer mais?,6zdrUt0j8guhZfcSF6X2Sb,66,175061,Quer mais?,0JjRdXHIJ59PRKyYbckwOv,POCAH,11iQCRz636WFdHj42qxAF6,0.0806,0.344,0,0.0533,0,0.826,-4.605,0.193,8.6e-05,0.791,150.026
"Vem amor, bate e não para",1tj949Btt168gzYcC9IjSk,48,145031,"Vem amor, bate e não para",4AZdCVypCmQgitOEzeIzlg,Mazzoni,4qBmR5LZctXUqqUYYQtOVw,0.25,0.702,1,0.121,7,0.726,-4.433,0.416,0.0,0.826,112.448
Se Eu Tiver Solteiro,4KXdwfri1NIQCImLQr3Wli,57,169845,Se Eu Tiver Solteiro,2qSERTWWD2Exg9IGHyJTEi,Mc Don Juan,7Lmrb6KcIzfkmgbtokjsAL,0.131,0.633,1,0.161,8,0.674,0.111,0.483,0.0,0.75,129.867
Manoel,79dSxnRErZROYU3LJleTlb,39,166293,Manoel,3o8vB3WU4bdzSF7ZfxQMAb,La Furia,2q0Eox3ewRHGGlSOXnmC54,0.0622,0.973,0,0.086,6,0.784,-7.202,0.599,0.0,0.793,129.512
Ninguém Fica Parado,0tPsiUXe3lALywkL6UfC8o,68,115826,Ninguém Fica Parado,7r33hFf2MlZqVgj6lchZxh,Shevchenko e Elloco,0UkgR9OaNIythB9LMU6ND1,0.126,0.876,0,0.0482,6,0.863,-6.82,0.177,0.0,0.734,169.913
Tome na Pepeka,0dilaI6Xr9P0oqErTjs98x,64,120320,Tome na Pepeka,1gFB90TG7XlfuKtuQzTPWg,Dj Gabriel do Borel,6HJiLhKqnOh32p3LSNWsR3,0.0579,0.526,0,0.199,5,0.687,-5.839,0.429,0.0,0.901,84.993
Bumbum Bate,6Try4KEVUwUVdZ6K08h64l,52,180048,Bumbum Bate,5lgEhC8FMW3VbgcRrLOz2Q,Mc Pedrinho,1etNnR2SdlelBQAICa2Q5m,0.103,0.948,1,0.059,8,0.852,-4.729,0.51,4.4e-06,0.652,94.991
Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,78,204930,Ela É do Tipo,1hG0rwH2mYAzpWhGEYBRS8,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,0.373,0.633,1,0.228,6,0.632,-6.615,0.945,0.0,0.398,90.695
1941,0bAJE5SD44ghSYhCZudcPa,13,177931,1941,7rRc88CjlyrJTOsj2jddQZ,Satara,0WtGsIJMRODbppYBhwcuPs,0.155,0.288,1,0.0621,1,0.684,-7.833,0.00148,0.343,0.688,145.061
Devil Eyes,7MiZjKawmXTsTNePyTfPyL,84,131271,Providence,1RVXVo1puacM8aQ6hgQahi,Hippie Sabotage,4dM6NDYSfLcspt8GLoT5aE,0.189,0.199,0,0.315,1,0.391,-8.621,0.702,0.405,0.396,99.112
idfc - Tarro Remix,1wsZ0cp5He4Wm4yohNjwIs,67,248633,idfc (Tarro Remix),0Cd2OqJMnUvUd59qoDrxeO,blackbear,2cFrymmkijnjDg9SS92EPM,0.221,0.389,0,0.109,1,0.58,-5.45,0.481,1.18e-06,0.694,139.751
In The City,3X7XM4x1uK3OrlFp52RclT,18,204800,In The City,5Nq7knm0LKZcQyFdDWfwp3,Romen Jewels,7lAXQoh0m9Xffn9L0LGg0r,0.365,0.294,0,0.103,5,0.64,-3.483,0.182,0.0,0.834,150.087
You Don't Mess Around with Jim,5yrsBzgHkfu2idkl2ILQis,59,184640,You Don't Mess Around With Jim,3L9sVl5T7UpFK6tNeEiXdy,Jim Croce,1R6Hx1tJ2VOUyodEpC12xM,0.0455,0.967,0,0.117,11,0.705,-11.379,0.607,1.52e-05,0.581,163.24
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,93,152913,Piece Of Your Heart,0cqRGWD3uc5Lggpducn5nD,MEDUZA,0xRXCcSX89eobfrshSVdyu,0.0295,0.631,0,0.074,10,0.677,-6.806,0.0404,0.00016,0.744,124.08
Cobertor de Orelha - Ao Vivo,1XCKlzIqaehohdUTihetGN,65,156921,Misturadin (Ao Vivo),00XeMtw9lHuOzG2stN4ny4,Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,0.0415,0.907,1,0.982,9,0.611,-6.652,0.773,0.0,0.849,80.067
Deixa em Off - Ao Vivo,5sudtP2ME6aIHN20glKW0k,66,173586,Turma do Pagode XV Anos (Ao Vivo),6VLXyeH6GWVBqgntHlK5NW,Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,0.0533,0.716,0,0.868,11,0.599,-5.749,0.732,0.0,0.812,96.048
Tá Vendo Aquela Lua,6DjKWVAqXUvMaAzO4U4CIo,62,196306,25 Anos (Ao Vivo),1rMqTbwki2gVgD7mfgkIpK,Exaltasamba,6VPRGmbZ0dupZrbwwEDRRw,0.05,0.645,1,0.93,7,0.57,-9.044,0.561,0.0,0.888,163.966
Pente e Rala - Ao Vivo,77L1hNSylbrLlDYs0ZAo82,55,163186,Mania do Brasil (Ao Vivo),2dpvrOhQY0KsinpWm0NJCP,Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,0.0751,0.818,1,0.664,11,0.622,-5.942,0.544,0.0,0.936,92.026
Saideira,4rcKs1COqtLFIbf63OzyqD,0,173465,Saideira,1TTzVgIhjr0OpsLsuz1bna,Atitude 67,1vp5pm1DluN0sNXx4tMZzo,0.188,0.816,1,0.411,0,0.688,-5.011,0.546,0.0,0.865,159.952
Fugidinha,3rbpdn9eiqXotLoiuF2oTi,58,184066,25 Anos (Ao Vivo),1rMqTbwki2gVgD7mfgkIpK,Exaltasamba,6VPRGmbZ0dupZrbwwEDRRw,0.0445,0.903,0,0.584,11,0.565,-8.902,0.549,0.0,0.889,172.283
Lancinho - Ao Vivo,2iH7RnVhofwr9NhaQ6r44K,65,227413,O Som das Multidões,3XhihHyXFqyUxo5ICzp7DE,Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,0.0488,0.651,0,0.873,7,0.563,-6.596,0.766,0.0,0.839,160.026
Vamo Que Vamo (Ao Vivo) - Ao Vivo,7Dum4ZUvO6vGi2dEp25sBw,53,177779,Vamo Que Vamo (Ao Vivo) - Single,6w413VD4nAK0SQNFPcByVz,Thiaguinho,1vppDmG3i5sXf3DJzrK4T1,0.105,0.678,1,0.0754,0,0.678,-6.309,0.213,0.0,0.877,104.93
Instigante,1uraiLj6cknVMCPazJIHK6,47,160437,Instigante - Single,1cnGoUd2OMeYHtsF8Lk5t6,Sorriso Maroto,1fUSLFr4WUBx7joEcGwpvG,0.0454,0.908,0,0.316,9,0.597,-5.583,0.814,0.0,0.885,80.405
