album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Summer Break Mixtape,3Ahz3KpKarLfZAb2bYEe65,No Vacation,32zeX1IoVKAGWMyy1isKUq,234606,6lbLn5iL2NBJnbib7bTXMn,Dræm Girl,60,0.00164,0.192,0.952,0.716,2,0.307,-5.888,1,0.258,172.752,0.262
Amo XO,04Yi3MVgftQcAqIqVdy9Wu,No Vacation,32zeX1IoVKAGWMyy1isKUq,130961,3dmsgudsfeGdQ9NsZFOm0C,Lovefool,60,0.0549,0.819,0.688,0.0568,2,0.0799,-5.967,0,0.0363,104.013,0.961
A Different State of Mind,67vmBAu5bzXKL13wbYGfb7,Kid Bloom,5CXdWANGwYYRPClH6hhC0P,215250,1ecdTZufvS62SLVPZTivYd,Lately It Feels Alright,40,0.077,0.607,0.277,3.97e-06,1,0.068,-11.625,0,0.163,209.896,0.669
Kaiju,0Z0fNb1sXiQ7oULwQYZMUA,It Looks Sad.,24M8W1AklCxyWTKjrJZDQ8,240640,54miTcO8OzHBlpnsVyUx8X,Creature,57,0.000559,0.519,0.724,0.00037,4,0.12,-7.301,1,0.0303,135.051,0.467
Being So Normal,6xduu32sm4aidoLhaxYkUA,Peach Pit,6fC2AcsQtd9h4BWELbbire,207813,6OiRh4kttAs1YWglvTcYkB,Alrighty Aphrodite,64,0.00605,0.534,0.724,0.0929,6,0.108,-4.675,0,0.0495,81.846,0.503
Being So Normal,6xduu32sm4aidoLhaxYkUA,Peach Pit,6fC2AcsQtd9h4BWELbbire,220066,65sNrvOp2HLlhGTeLJ0nnk,Being so Normal,58,0.674,0.541,0.583,0.00583,6,0.125,-8.886,0,0.0507,148.162,0.295
Sweet FA,1lhF5c8Q9bzYNwGFwQgYnP,Peach Pit,6fC2AcsQtd9h4BWELbbire,216426,0SBariQWfKjoslW2XSIFOm,Seventeen,60,0.00837,0.559,0.89,0.00759,11,0.103,-5.188,1,0.0387,91.509,0.809
Being So Normal,6xduu32sm4aidoLhaxYkUA,Peach Pit,6fC2AcsQtd9h4BWELbbire,209640,1H3bR7kQ1VBOb5pEJMiPdM,Not Me,49,0.339,0.513,0.878,0.255,4,0.147,-5.913,0,0.0547,173.21,0.578
Being So Normal,6xduu32sm4aidoLhaxYkUA,Peach Pit,6fC2AcsQtd9h4BWELbbire,248746,51jG0OlS5GWuunFH05NyC6,Hot Knifer,52,0.927,0.644,0.247,0.0264,6,0.115,-8.813,0,0.0368,124.667,0.0876
Yuck (Deluxe Edition),4A5nCDuPk7HbcyvR6X0d8h,Yuck,6l3BRLCpzfC8yxqf9thWAg,215573,3ljCRAo4YkWwrt3OufWzUE,Get Away,31,0.00247,0.468,0.693,0.542,9,0.236,-2.301,1,0.0378,133.052,0.538
Being So Normal,6xduu32sm4aidoLhaxYkUA,Peach Pit,6fC2AcsQtd9h4BWELbbire,339746,40d4m1eI0erCRKLXz55RtT,Private Presley,52,0.137,0.285,0.496,0.409,6,0.125,-9.839,0,0.0338,124.441,0.227
Beacon,1G8PhvQ9hdNMag4mBOAPN3,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,187720,6EuSqrL9s4PywYiKPtDuT0,Sun,0,0.00982,0.649,0.533,0.000364,4,0.111,-5.426,0,0.0284,96.973,0.611
Bitter Pill (Deluxe Version),36eyR9EO74my5HDrUUPytn,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,216200,26KfOGyEApSDoSro8WsvNZ,Nervous,56,0.418,0.495,0.65,5.27e-05,7,0.108,-10.174,1,0.0385,83.23,0.16
Yuck,3XMiO7Tg1KuEVohFWyU6Xr,Yuck,6l3BRLCpzfC8yxqf9thWAg,214906,1c6dAF03e2zI4IbH9IE7cN,Get Away,0,0.00222,0.473,0.698,0.429,9,0.362,-2.265,1,0.0373,132.982,0.553
I Wanna Dance with Somebody (Who Loves Me),3nSph4x5GlMareku7Vypu1,Tom Speight,02U4dXZhGSo07f66l8JZ91,216309,33asYxhQGxoIZvfcaIIfaf,I Wanna Dance with Somebody (Who Loves Me),51,0.767,0.6,0.379,0.000299,7,0.0977,-10.643,1,0.0276,124.978,0.45
Truth EP,1ybJvLh46tM8x5FjsrA7zZ,Ed Prosek,6DchmKCVOKK707FCrLFFDW,220624,783gviIdhI9Q82ugi6VW4r,Truth,0,0.747,0.578,0.487,0.00018,0,0.125,-8.838,0,0.0329,142.046,0.249
Gb City,4VFt6gflVhBmesukoQ3Lt5,Bass Drum of Death,5LtAyeDVOVcydj65LvgICY,181400,57QZeBhHRLiWhIpjHvKtND,Get Found,42,0.0137,0.477,0.964,0.0932,2,0.288,-4.948,0,0.0563,145.949,0.299
Human Performance,4RNew41ZeRuoRNg3YAhvpe,Parquet Courts,23NIwARd4vPbxt3wwNnJ6k,255880,3iyYmoZMI4o0xW0nCLwAT3,Human Performance,52,0.2,0.455,0.757,0.487,6,0.308,-3.867,0,0.0301,109.824,0.524
We'll Live and Die In These Towns,6XlVOEnkD1QVrUNSz9Y7RO,The Enemy,01ZP85CNi7Y9t1e0one46k,182533,14HIx1zYQLez1NxN9aeRkg,Away from Here,43,0.0755,0.487,0.878,0.0,1,0.138,-4.548,1,0.0318,158.104,0.718
Cream On Chrome,3RGtHyDiOrog7uzkhPYa4I,Ratatat,57dN52uHvrHOxijzpIgu3E,235362,34v7Zs9a64h1xC3PWrmypP,Cream On Chrome,53,0.0275,0.79,0.692,0.369,7,0.528,-4.704,0,0.0532,100.264,0.82
Sunny Side Up,6phMKMOoIv4CLmOH5m7Lj3,Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp,147666,4PUklK493DHKWcxvsJsdWH,Chamber Music,40,0.768,0.404,0.21,0.157,7,0.0855,-13.192,1,0.0336,150.412,0.471
Hate To Say I Told You So,5ZDu3ZYLA9ff11cJrlcsGH,The Hives,4DToQR3aKrHQSSRzSz8Nzt,199733,0dcJ1SsbTmAvC3ZVvUYMIy,Hate To Say I Told You So,3,0.00114,0.447,0.9,0.00596,5,0.47,-6.741,1,0.0578,135.861,0.39
Carnavas,5gQ6nJYnackUywgXwmDyDz,Silversun Pickups,6qyi8X6MdP1lu6B1K6yh3h,354360,6axAacuCsPeAStu4a2XZA0,Lazy Eye,2,0.0401,0.633,0.831,0.693,4,0.117,-5.053,1,0.0461,127.397,0.243
Constellation,1a4HUfuepjN78mIL5BIMYz,Canyon City,6TdfKQvrdHZdr4DIzjuWOr,250684,23OyhiprklzoNCOJX31fSE,Be Scared With Me,55,0.802,0.603,0.263,0.000113,0,0.116,-12.406,1,0.0326,146.226,0.333
Carry On The Grudge,3dvHXz1aCtrPvvpIMDJFfs,Jamie T,3Rsr4Z96O6U3lToOiV3zBh,246186,5tbZBnWJAw72ZRjmMsrh0D,Zombie,6,0.0113,0.544,0.914,0.0,4,0.485,-4.337,1,0.063,145.09,0.699
"That Sea, The Gambler",7ecZGh7SICLEkqqkBNXfvE,Gregory Alan Isakov,5sXaGoRLSpd7VeyZrLkKwt,360933,3G9ETaH55bMQx8hwNhAgbU,The Stable Song,68,0.633,0.625,0.432,0.00242,2,0.127,-11.948,1,0.0283,137.926,0.361
Teenager,1CqtO269U2YwnaRG9gUprK,Mona,4AKwIU9B31J3L41DuJfFym,174133,1H1oxYhlfYLmed6dHn03Kk,Teenager,18,0.000438,0.322,0.894,0.0,11,0.108,-4.65,0,0.0666,146.683,0.334
Life Sux,4XG9zoLbhc8shGghmCb8eO,Wavves,6bUJpbekaIlq2fT5FMV2mQ,174553,2wg09UvwEDh5zOz08DNbAZ,Bug,32,0.000466,0.202,0.972,0.0235,7,0.576,-3.96,1,0.0794,165.043,0.109
Time Capsules II,0O4LU2JL6yhGbXkBd5ZNpd,Oberhofer,5zb7wVUx1vTXLB6HX26EnX,259800,4GRaa1CkDXnZ4bLNw7aYFa,Gold,31,0.478,0.501,0.928,2.35e-05,9,0.142,-5.16,1,0.0916,159.787,0.753
Gossamer,14JU5SskmcyckE5I8PY6lv,Passion Pit,7gjAu1qr5C2grXeQFFOGeh,264493,4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,68,0.0338,0.566,0.755,0.0,11,0.315,-5.526,1,0.0368,101.006,0.445
Holy Fire,0PIR7PK8DMB4pgoxq7F9Ad,Foals,6FQqZYVfTNQ1pCqfkwVFEa,292546,3tRqWoZuQtOfG54Vd6nNdq,Inhaler,57,0.0036,0.536,0.73,0.668,2,0.183,-7.606,0,0.0427,97.206,0.438
Port Of Morrow,4ZTcGoOrNro2aCAStXEjZi,The Shins,4LG4Bs1Gadht7TCrMytQUO,255400,48bo7uexDvAThcRDvEB2W7,Simple Song,65,0.0133,0.546,0.878,0.0,7,0.135,-5.137,1,0.0525,119.945,0.35
Bruiser,7vVn9Lw8LOpe2Ec4tOucbB,The Duke Spirit,5lModM3s3qlPQKYjtwWuXD,197520,1ZoDy49goOkZH0F327cmoY,Surrender,25,0.00417,0.193,0.882,7.82e-06,11,0.254,-3.835,0,0.0894,160.037,0.199
El Camino,5DLhV9yOvZ7IxVmljMXtNm,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,207040,5S7kFUo496CoItemffWQb9,Nova Baby,53,0.0054,0.556,0.702,0.0,4,0.218,-5.792,0,0.0423,132.33,0.452
Tourist History,4VX87XKcBRsxIU6Yri4PFC,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,191426,0oEweHsuQagFuqXct9UvBm,What You Know,67,0.000741,0.549,0.755,6.06e-06,6,0.0786,-3.991,0,0.0403,139.034,0.818
Beacon,1G8PhvQ9hdNMag4mBOAPN3,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,236440,76d991vOJOyIRsUdeciKjM,Sleep Alone,0,0.000102,0.534,0.755,0.00226,0,0.0927,-4.943,1,0.043,148.008,0.519
What Went Down,4uIDigk79DeZEYV6Z5Yf4s,Foals,6FQqZYVfTNQ1pCqfkwVFEa,244293,53L6A3I9vf7rgEZnMzx54E,Mountain at My Gates,67,0.0025,0.495,0.931,0.0783,2,0.246,-5.336,0,0.0469,104.05,0.617
Tourist History (Deluxe),6kKIwUDSf7GV3kdU041ZHM,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,214293,31OaV0P9FVy0l0ITDoEoIa,Cigarettes in the Theatre,37,9.17e-05,0.452,0.882,0.156,0,0.115,-5.154,1,0.24,168.994,0.612
America Give Up,1YPOC8uC8KUG0jspZm6kQ2,Howler,7nERL8M0rrFRnMuC2vbsUg,222573,1YM7fNEGrM1QSuRFHmIdQG,Back of Your Neck,34,0.314,0.553,0.936,0.0126,11,0.105,-2.93,1,0.28,166.852,0.223
Animal,30zUJnxrRpZm4Cic4cneVB,Neon Trees,0RpddSzUHfncUWNJXKOsjy,212400,3LbXPKUPANdLSxENkV0i2f,Animal,2,0.000282,0.482,0.841,0.0,5,0.376,-5.484,1,0.0438,148.024,0.744
Magnifique,4Lp4NxL8v03Mxg3hbAgW1Z,Ratatat,57dN52uHvrHOxijzpIgu3E,256808,2zlOCBcS1CCIUkgpz78ahY,Abrasive,43,0.238,0.577,0.731,0.884,7,0.288,-7.028,0,0.0313,138.251,0.308
Beacon,1G8PhvQ9hdNMag4mBOAPN3,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,223120,78XJJu79UWAK1vTrqdRqvh,Someday,0,8.84e-06,0.485,0.913,0.664,9,0.199,-4.614,0,0.0351,144.02,0.665
Mona,48xRWWQZ6nUJQ67kxnviQm,Mona,4AKwIU9B31J3L41DuJfFym,205786,3tvhWi9FFi3UMBpviIMdlA,Shooting The Moon,0,0.000978,0.388,0.896,0.0,4,0.154,-3.663,0,0.0586,81.414,0.318
Next Year,226NeBqzflUWkZXjxhVCky,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,251480,5rL8ffbAjpGYroz3HfuiVl,Next Year,5,0.00282,0.566,0.804,0.00105,2,0.071,-4.783,1,0.0764,127.568,0.462
Time Capsules II,0O4LU2JL6yhGbXkBd5ZNpd,Oberhofer,5zb7wVUx1vTXLB6HX26EnX,311760,6ZpJrxd7zlclMxWLCcbxrW,Haus,9,0.51,0.498,0.909,0.0107,7,0.135,-6.048,1,0.0492,146.989,0.481
Torches,7Kmmw7Z5D2UD5MVwdm10sT,Foster The People,7gP3bB2nilZXLfPHJhMdvc,174920,4HRa9ZWcmZ8JD7UySPu0wT,Don't Stop (Color on the Walls),64,0.00183,0.611,0.948,0.0995,1,0.0969,-3.751,0,0.0753,133.004,0.79
Walking On A Dream,6cMiYjMZ7ltJC3OyljYJO6,Empire of the Sun,67hb7towEyKvt5Z8Bx306c,198440,3iVAyrTlbWGBq0laeQ18z2,Walking On A Dream,7,0.245,0.87,0.699,6.76e-06,5,0.0588,-5.541,0,0.0459,126.967,0.726
"And After That, We Didn't Talk",3tlDQco8P9HFoR5CRC1BCj,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,213333,1fpfYMT2RTc5W3Zluq5xVA,Palm Trees,53,0.235,0.685,0.61,0.0,2,0.164,-9.294,1,0.487,127.932,0.777
Telefone,18Scpsg5OV1iYNtSaCsjwz,Noname,1EpyA68dKpjf7jXmQL88Hy,208000,6JvfBzqZmSiEG5MjM7OcSY,Diddy Bop (feat. Cam O'bi & Raury),64,0.713,0.637,0.503,0.000113,1,0.109,-6.927,1,0.336,81.061,0.661
At What Cost,18JrBX1QkpnUSJF3oxX6RX,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,183760,564oa00vY05d1uYnTEAAmE,Herside Story,71,0.656,0.885,0.595,4.42e-06,7,0.105,-5.487,1,0.286,148.034,0.754
ALL-AMERIKKKAN BADA$$,6swV0WUnPygRIMgEKn6Ige,Joey Bada$$,2P5sC9cVZDToPxyomzF1UH,244197,7L9g4cPfohScjJ8mGwLQWr,TEMPTATION,69,0.397,0.775,0.707,0.0,10,0.874,-5.339,0,0.152,104.979,0.78
Rough Soul,2DrAYmozfh5ynk6aLUNLxZ,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,181025,5v0C3nNNDMhZ3nWzzP0W4T,Rough Soul,60,0.0273,0.795,0.529,0.000129,4,0.0938,-18.345,0,0.0605,117.009,0.419
Smile Good,0js0LifyH653EoIQos9xv5,Jay Prince,2TLYSzGyVYkxAgYSCqUnQj,206769,5mSJgLW43dmFEMK50ECr0S,"Father, Father",48,0.0498,0.629,0.749,0.0104,1,0.494,-5.414,1,0.0674,130.016,0.69
"And After That, We Didn't Talk",3tlDQco8P9HFoR5CRC1BCj,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,161080,60ZZNXIdwgUGkVGRt7foLT,Late Night,62,0.278,0.442,0.446,0.0,9,0.308,-11.354,0,0.786,51.539,0.295
At What Cost,18JrBX1QkpnUSJF3oxX6RX,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,258784,7jaYiqwCFQDdtxfQaSzZuM,Meditation,57,0.0303,0.849,0.703,0.0,4,0.0831,-7.069,0,0.193,115.052,0.405
You're Dead!,29luvT98TnqHjVDYSRbbrj,Flying Lotus,29XOeO6KIWxGthejQqn793,234486,6CTG85NJI1Wm60pxTSRNwL,Never Catch Me,58,0.316,0.526,0.936,0.000384,8,0.261,-4.576,1,0.263,81.305,0.283
Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,350001,2FTGmG9PvlXEERkb1sYBE3,Ab-Souls Outro,22,0.116,0.471,0.839,0.0,5,0.658,-6.852,0,0.379,115.79,0.639
The Beyond / Where the Giants Roam,1atZ1TiIPZZec0oiyY1mBl,Thundercat,4frXpPxQQZwbCu3eTGnZEw,187210,4u8031pTkTODbRaDCbx8Yv,Them Changes,43,0.544,0.787,0.579,0.00148,10,0.116,-8.376,0,0.0581,81.68,0.738
Navajo,5DxMTCWwHlaz4Hx1og50xL,Masego,3ycxRkcZ67ALN3GQJ57Vig,194157,6zWU7YALeEDMcPGhKKZJhV,Navajo,70,0.114,0.686,0.592,1.16e-06,6,0.248,-7.398,0,0.26,89.013,0.364
At What Cost,18JrBX1QkpnUSJF3oxX6RX,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,176702,15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),75,0.133,0.728,0.607,0.0,1,0.0864,-8.417,0,0.132,129.938,0.445
Lies We Told,6dv47Bjm2WFWRlNH8OFT6K,Fallen Roses,5I6WLC9Auo6aeTRHPQbdOv,170588,2Yi7Bh4OFdRfgzWptNR8Ob,Lies We Told,0,0.845,0.762,0.18,0.927,3,0.0779,-18.287,1,0.0499,101.809,0.17
Subluxe,3U2omtdhP8u72J2afr5UQG,Healy,2Yhge9MsE7qKcV0eWsuuHM,237157,3eB4rqVk93cQpxXUtdZr5K,Reckless,2,0.509,0.846,0.366,2.76e-05,2,0.236,-8.415,1,0.417,81.179,0.421
Tuxedo,5tD7xrX0TjRHaGCbSFDz3D,Tuxedo,0CCqHvxGgfjJzwzQzmPlEr,258502,1NFjjAIK4IWjDLzpMry0Kp,Do It,3,0.0642,0.818,0.858,0.256,1,0.256,-4.219,0,0.0398,119.605,0.753
Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,181772,3g86N0SqyfxEVNMHlmW3RE,Busy Earnin',64,0.209,0.457,0.883,5.11e-06,10,0.0912,-5.61,0,0.0376,99.937,0.736
Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,213614,3kwRiuw2oJoArGs3EusCgn,Time,58,0.192,0.693,0.695,0.000925,5,0.489,-8.435,1,0.0446,120.015,0.553
Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,196052,49sqQIS868rKIy5NBUmJV6,The Heat,57,0.277,0.649,0.878,0.154,5,0.424,-7.754,0,0.0428,109.984,0.645
Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,173626,6FvjAQqC2L0B3TTANybitI,Drops,56,0.852,0.703,0.237,0.637,5,0.0924,-14.283,1,0.0541,107.992,0.171
Jungle,6IH6co1QUS7uXoyPDv0rIr,Jungle,59oA5WbbQvomJz2BuRG071,195293,43A8FeaAetF2Imc28DX29I,Julia,53,0.022,0.623,0.647,0.00108,10,0.109,-7.511,0,0.0301,107.996,0.277
Motifs - EP,1o1xzDFARnFITN40px5GyS,20syl,6mA4csYsYvf4Mq02PleZEV,238777,3DjYU54tU6YCEy822r8TcY,Ongoing Thing,54,0.363,0.471,0.699,0.000242,5,0.0708,-7.782,0,0.245,170.114,0.329
Sincerely,0HOofIzmgO1zaHMsoU475w,Stephen,64N1HzkQEXvjlJBQinWeu2,270510,5lJH3o6AFW9Aig1CdRdAF1,Crossfire,62,0.459,0.323,0.558,2.81e-06,5,0.676,-5.292,0,0.337,73.552,0.199
Sincerely,0HOofIzmgO1zaHMsoU475w,Stephen,64N1HzkQEXvjlJBQinWeu2,207462,1lRzHXieZLp1NNoqopBLkf,Line It Up,47,0.12,0.609,0.684,0.0,0,0.314,-4.113,0,0.205,169.765,0.411
Yours and Nobody Else's,70y2kkQvKd6j5a6voDdZzs,Fallen Roses,5I6WLC9Auo6aeTRHPQbdOv,129562,49VY7zaIgfNI96qdK1Xi2l,Yours and Nobody Else's,1,0.739,0.767,0.532,0.903,5,0.133,-9.231,1,0.248,80.032,0.0723
Section.80,13WjgUEEAQp0d9JqojlWp1,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,215791,6jl01C724Mk68qlOQLco5I,Blow My High (Members Only),34,0.316,0.959,0.524,0.0,9,0.274,-8.145,0,0.274,119.933,0.84
"""Awaken, My Love!""",4xnq1L6P551Qcb9gBXNMK7,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,326933,3kxfsdsCpFgN412fpnW85Y,Redbone,21,0.172,0.745,0.356,0.00943,1,0.123,-10.425,1,0.0941,160.033,0.607
Thinking In Textures,1lqdYmOceSVAulxV7YuD7L,Nick Murphy / Chet Faker,2Q0MyH5YMI5HPQjFjlq5g3,221533,2xD7RvKFJl52xyds3wQFXQ,No Diggity,58,0.675,0.578,0.77,0.000178,2,0.101,-4.858,0,0.258,160.862,0.488
Jungle,7oZG5VZ4SukMmnylJ16O24,Jungle,59oA5WbbQvomJz2BuRG071,192405,5mHVURjIu3spVJSGjQ3kXS,Platoon,38,0.0447,0.638,0.834,0.411,5,0.0624,-7.52,1,0.0417,100.038,0.777
Kauai,5N6Jn6dBh0WqLzGfOPytgx,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,190906,5D75FuywOiKjfmpmmobk8v,The Palisades,0,0.00732,0.744,0.716,2.12e-06,8,0.128,-5.92,1,0.0591,100.048,0.454
Worth It (feat. Joyce Wrice),6Jbz7mg7VqEvHMM7O84ImL,Elujay,1CgbNAF3Stnz1Tpipu3xdO,241712,4tfyFSSliCwsxCAVUBWyD8,Worth It (feat. Joyce Wrice) (feat. Joyce Wrice),25,0.209,0.43,0.476,0.0,11,0.119,-11.212,0,0.121,86.378,0.228
The Sun's Tirade,6jjX8mGrsWtrpYpFhGMrg1,Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM,192029,5FX89IUKm9QJT9ymrmyK4k,Free Lunch,65,0.223,0.865,0.472,5.39e-05,11,0.109,-7.359,0,0.237,130.011,0.843
Bucket List Project,10UscF31tC7Sz8S2a1mGbM,Saba,7Hjbimq43OgxaBRpFXic4x,211296,0HU8CeTestQjoRF2ekaLqx,Stoney,59,0.295,0.735,0.639,0.0,6,0.108,-7.464,0,0.247,158.865,0.695
Yesterday's Gone,0tgsACxUMuBElueq2YRe1K,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,187666,7HmCoTbkdV6BA8tPDBoyD9,Stars & Shards,1,0.273,0.808,0.856,0.0,9,0.0795,-6.464,0,0.307,100.196,0.68
Malibu,4VFG1DOuTeDMBjBLZT7hCK,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,169726,276zciJ7Fg7Jk6Ta6QuLkp,Come Down,65,0.328,0.82,0.908,0.00155,10,0.296,-6.151,0,0.124,98.381,0.919
More Life,7Ix0FS4f1lK42C3rix5rHg,Drake,3TVXtAsR1Inumwj472S9r4,210937,5o2r7507gCOYdRMeR3noqZ,Fake Love,8,0.105,0.928,0.481,0.0,9,0.176,-9.35,0,0.287,134.007,0.613
Views,3hARKC8cinq3mZLLAEaBh9,Drake,3TVXtAsR1Inumwj472S9r4,245226,6F609ICg9Spjrw1epsAnpa,Controlla,12,0.0773,0.607,0.476,0.0,10,0.113,-11.076,0,0.249,122.976,0.347
Views,3hARKC8cinq3mZLLAEaBh9,Drake,3TVXtAsR1Inumwj472S9r4,263373,11KJSRSgaDxqydKYiD2Jew,Too Good,14,0.0573,0.804,0.648,3.49e-05,7,0.102,-7.805,1,0.117,117.983,0.392
Views,3hARKC8cinq3mZLLAEaBh9,Drake,3TVXtAsR1Inumwj472S9r4,173986,1xznGGDReH1oQq0xzbwXa3,One Dance,22,0.00784,0.791,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,0.371
Apocalypse,2qqVy8a4qk9FCt00hal9vl,Thundercat,4frXpPxQQZwbCu3eTGnZEw,292658,75Eyv6gTsLyP80G9fEizmw,Lotus and the Jondy,28,0.19,0.369,0.86,0.637,6,0.0705,-9.618,1,0.0621,98.463,0.347
Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack,0m7dZQ6nLNjDI78hBmpG1L,James Brown,7GaxyUddsPok8BuhxN6OUW,171573,47Zqlw3jmibtVPy8usPjBj,Unchained (The Payback / Untouchable),61,0.128,0.563,0.917,8.47e-06,8,0.404,-4.753,1,0.158,92.074,0.573
The Documentary,0d0QL1mV66wpb9cBvCSF0G,The Game,0NbfKEOTQCcwd6o7wSDOHI,206400,60WcXjimfbhk6T0gj1Eufg,Hate It Or Love It,13,0.14,0.802,0.785,0.0,9,0.123,-4.781,1,0.207,99.998,0.435
The Documentary,0d0QL1mV66wpb9cBvCSF0G,The Game,0NbfKEOTQCcwd6o7wSDOHI,235533,6mZcNu9i8uhOYMiEAyEx81,How We Do,13,0.0455,0.862,0.648,0.0,4,0.0332,-7.401,0,0.251,98.012,0.637
2014 Forest Hills Drive,7viNUmZZ8ztn2UB4XB3jIL,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,875306,01VGA34ATxwp0Xo1ldduo2,Note to Self,58,0.855,0.652,0.455,0.0,8,0.171,-8.673,1,0.115,83.151,0.325
Born Sinner,1NfrmcXk8xNennyxQ57JcW,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,217240,7ncDwhSTgCZuL3OZNkvZ97,Niggaz Know,55,0.0334,0.709,0.687,1.7e-06,10,0.103,-7.394,0,0.174,138.046,0.327
