,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
45,0.000137,0.368,0.967,5X4cxGaws3pLMh5cuf3UJK,0.318,6,0.313,-6.489,0,0.0696,137.85,0.496
46,0.000492,0.346,0.934,467sEVDgETBscsn9OKJ87Q,6.33e-06,6,0.117,-4.172,1,0.128,179.974,0.46
47,0.00175,0.4,0.911,2k30UkSJ7i2PXioaokC6Ki,0.0,11,0.0803,-2.612,0,0.0886,169.717,0.669
48,0.0011,0.354,0.98,2ETeSgH6op1ARGBEljmHr7,2.8e-05,9,0.127,-4.456,1,0.0548,181.805,0.671
49,0.00146,0.36,0.979,1rIh8NU2OYdKnLC3qTZjh7,8.35e-05,3,0.0474,-4.204,1,0.109,136.971,0.571
50,0.187,0.689,0.738,0WTmEwS0UwTd3ySVEZwLAJ,4.93e-05,11,0.185,-6.051,0,0.0425,121.941,0.368
51,0.0242,0.475,0.675,0i7DGL8brBaukgIQf4jdGZ,0.0,8,0.193,-7.333,0,0.0413,153.935,0.532
52,0.000216,0.56,0.98,0y5unxPEvpulXKPgw4StQW,0.000364,2,0.168,-3.592,1,0.0883,117.5,0.344
53,0.000339,0.541,0.986,1aGxEyEsZBG90bXFolWQ2W,0.000126,8,0.512,-4.652,0,0.0889,113.037,0.854
54,0.0068,0.501,0.958,2JFNQOSIdJVUwVrjAqUr0v,1.21e-05,1,0.183,-4.818,0,0.0597,128.031,0.382
55,8.05e-05,0.317,0.871,11rFcVpCnhflTpQYcGIWB2,3.08e-06,4,0.235,-6.725,0,0.0822,196.863,0.155
56,4.46e-05,0.285,0.964,6ct49JoiM1g6akHiSuxXmH,5.36e-06,11,0.304,-2.996,0,0.0831,92.26,0.497
57,0.00296,0.427,0.508,3skv0Lg9u0Tqkoqqnb7hR9,0.0,9,0.091,-6.527,0,0.0305,80.976,0.388
58,0.0435,0.654,0.757,372NdR6AW2FBVF49gEsfST,0.0,5,0.18,-7.167,1,0.0436,120.003,0.698
59,0.0555,0.469,0.934,4ToGY2sw5NMxFyaEAHDnPZ,0.000199,7,0.317,-5.01,1,0.0601,125.937,0.0708
60,0.00478,0.544,0.937,1PLQC4WP9POFtdvmwsB6jh,8.56e-06,11,0.0857,-2.866,1,0.0641,160.133,0.906
61,0.00304,0.288,0.741,4NivLWiaLhhtVH5xNpm7zr,4.91e-06,6,0.202,-4.825,1,0.0412,150.88,0.273
62,0.0921,0.583,0.685,6Hb4MzTT0K1eejEXt8segV,0.0,6,0.185,-6.882,1,0.0383,119.997,0.197
63,0.000964,0.559,0.851,1PGyfLQdgFPXGEtP2b6ovZ,0.0,11,0.228,-5.199,1,0.0328,116.964,0.515
64,0.00515,0.439,0.984,0OQUxQwNFjkClshgwHmzNJ,2.11e-05,8,0.258,-3.002,1,0.0902,180.011,0.526
65,0.0261,0.514,0.981,1yAB3v54mAwnnIOKeGhEbf,0.0,10,0.26,-2.063,1,0.0454,162.844,0.923
66,0.259,0.564,0.713,7ouidpMWYtSzlNgvfBv1Ao,4.86e-05,0,0.336,-4.523,1,0.025,107.987,0.521
67,0.0635,0.33,0.979,6EBuhDXGEe8ZPDR8WuuieN,0.0,2,0.856,-5.222,1,0.16,114.642,0.354
68,0.0225,0.509,0.936,3Ul2J7mhUaMSNFdHEtJetw,0.0,11,0.159,-3.832,1,0.0651,190.031,0.706
69,0.0563,0.345,0.929,0UKtxApDXtcwtTcfZVg1tg,0.0,4,0.113,-6.224,1,0.0859,127.072,0.28
70,5.99e-05,0.401,0.953,3o0J0f1b93w0vZ5oMwnKIr,0.000791,11,0.319,-3.354,0,0.065,122.863,0.644
71,0.00802,0.449,0.966,2pu3XlRP98qpxlmv5fcI1R,0.0,11,0.42,-3.545,1,0.114,183.137,0.847
72,0.000319,0.459,0.922,4equ0GhevUuVxprInZB9n2,0.0575,9,0.0353,-5.678,0,0.0943,140.135,0.504
73,0.0018,0.352,0.982,0ROQHMG2v6pLZS1L3MfyvT,0.0,9,0.184,-3.603,1,0.0905,111.325,0.227
74,0.00358,0.216,0.976,4SQeLOEcsvsfYYaSGOHXaH,8e-05,11,0.289,-3.535,0,0.337,195.793,0.418
75,0.000439,0.585,0.961,5AMpURCwIEVMW0W6FpJIOu,6.52e-06,7,0.0334,-4.326,1,0.0679,99.99,0.461
76,6.94e-06,0.281,0.951,0KXGWIQA5LY1tikN6Kp0x2,3.35e-06,2,0.354,-4.397,1,0.0384,111.759,0.83
77,0.00173,0.406,0.995,3KSxP6fx5Fxm4TGAwfLedB,2.62e-06,6,0.24,-1.486,1,0.154,130.466,0.0619
78,0.000181,0.57,0.946,6RuGzzgbAWexi51wR5PVbR,0.0001,10,0.298,-3.784,0,0.0852,94.937,0.618
79,0.00224,0.526,0.756,0SHd4Pt7cXh8LYyYNVOafO,2.27e-05,3,0.111,-4.904,0,0.0434,152.113,0.364
80,1.92e-05,0.31,0.891,67s36dh8Q7Cy01kBesiVlh,0.000317,1,0.186,-6.04,1,0.0671,183.531,0.63
81,0.00033,0.355,0.955,1d9FVl17Uq9LWHAFyrmIgO,0.0,1,0.132,-3.045,0,0.08,179.043,0.654
82,0.00488,0.61,0.891,4VF7On3YlSeCzYOSQJUlcA,0.0,7,0.202,-4.988,1,0.0283,133.09,0.67
83,0.00149,0.704,0.903,76yjNTMsef12pt2OPmRW0U,0.0426,0,0.0497,-4.885,1,0.195,91.22,0.592
84,0.0037,0.637,0.848,0VuyAK8iEZkQxHfmBV6MMm,2.59e-05,11,0.123,-5.968,0,0.0398,112.993,0.522
85,7.68e-05,0.52,0.909,6GrMDLPemU7wVYrMZ2PYIe,0.00304,9,0.337,-5.781,1,0.0348,135.003,0.412
86,0.00178,0.526,0.998,7KPh2HhqbDVoTSwUwGgSuG,0.0,5,0.384,-3.437,1,0.157,109.986,0.276
87,0.00123,0.397,0.981,3E12PDIrvE5HhUoQswdHPS,0.0,6,0.208,-3.223,1,0.0701,172.029,0.771
88,0.000123,0.319,0.986,6PiuCvBFIXLyUjhmmWgSRp,0.0513,1,0.0429,-4.233,0,0.12,122.268,0.294
89,5.4e-05,0.318,0.986,2m2G5GnKXv7tvZXgnGR2Eb,0.141,5,0.175,-4.533,1,0.184,109.346,0.279
90,5.3e-06,0.187,0.99,2TEBVdMOqG2lyBp5FXwqRy,0.0087,8,0.0857,-4.29,1,0.268,199.432,0.197
91,0.00269,0.661,0.695,2Y0R8ey56JBZj6Au3HenCq,0.0,7,0.12,-3.97,1,0.0256,99.958,0.419
92,0.00221,0.211,0.993,3CKSVW7shWuTLR55fVNGUx,0.118,5,0.204,-3.972,0,0.242,161.785,0.0819
93,0.000705,0.561,0.953,6BURdPgZ2AO4zO8OrW27VW,0.0,10,0.139,-6.561,1,0.0519,112.464,0.365
94,0.00498,0.504,0.983,47jIgsXYJ76fgzruFh5YJX,0.0,2,0.365,-3.187,1,0.0912,151.926,0.707
95,0.0031,0.514,0.837,3VsTh5FJ7VJjgFXdo0Bs90,0.00768,1,0.0807,-3.599,1,0.0353,164.005,0.729
96,0.000633,0.724,0.919,5Kyagku1goWhakvh6Gq3DA,1.5e-06,7,0.136,-4.769,1,0.0468,121.961,0.85
97,0.493,0.764,0.765,0ZYuaNa0M0XVimhr8biOmX,3.26e-06,1,0.0894,-9.795,0,0.0559,172.0,0.663
98,0.000462,0.507,0.908,5gszRSnT5FnH1Dl2ZKX0gT,3.61e-05,1,0.395,-5.977,1,0.0632,94.948,0.707
99,0.000382,0.574,0.964,3FXo3xKG3aYV3hvdRzUY61,0.0045,4,0.0578,-2.745,1,0.0458,109.037,0.644
100,0.128,0.68,0.769,6Jmu9a4VFyaEunwTOn8dX5,0.0,0,0.109,-6.06,1,0.0265,131.006,0.752
101,2.93e-05,0.467,0.931,5CZr5CLRKOHG4UmIiVvsdl,0.00113,10,0.251,-6.438,1,0.0612,123.03,0.447
102,0.0798,0.614,0.94,7d8sqXhIwIJltlGHL47ASh,0.0,9,0.402,-4.071,1,0.303,89.967,0.772
103,9.6e-05,0.603,0.831,2y9FAWUoC9WqyiFz53d5dA,1.32e-05,4,0.191,-5.437,0,0.0721,119.948,0.337
104,0.00196,0.262,0.899,2JhEdjHXQRsmnQjelhcu7B,0.000167,11,0.172,-4.277,1,0.0354,135.974,0.378
105,0.00172,0.484,0.926,00vJnCNa4lRIRmAWwodCoT,0.0,1,0.225,-3.24,0,0.0629,157.932,0.623
106,0.018,0.607,0.802,7HodK5RNKquWXziwdtD98H,0.00148,8,0.0721,-4.173,1,0.0337,124.992,0.652
107,7.01e-05,0.451,0.947,2UX8moWR8EvEr2DKitSpmu,6.1e-05,4,0.25,-4.115,1,0.0725,156.18,0.815
108,0.165,0.519,0.921,3yrfljvmTfyulORy5fEQy1,0.0361,6,0.385,-3.882,1,0.0329,153.97,0.588
