id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
0Y30sCKxtNQ2MRpl00aA03,0.221,0.467,1,0.129,8,0.613,-8.324,0.889,0.0279,0.427,82.523
0Gpq0lllEPZf98gVo9C4uS,0.036,0.704,0,0.169,6,0.674,-7.46,0.0733,0.139,0.713,111.017
2Y6yBb2KctOmsxRSS8ZaKY,0.088,0.582,1,0.103,8,0.649,-8.202,0.244,0.802,0.863,110.027
6qX4gWRXTRPIrEfNuNaYye,0.0547,0.513,1,0.154,2,0.646,-6.34,0.517,0.00687,0.695,105.986
0TpPtPgWCxhJpD3vEhKSrg,0.0457,0.517,1,0.113,8,0.385,-3.369,0.00475,1.9e-06,0.948,166.138
2fea1IQDXMABCGce4H5dzZ,0.0398,0.478,0,0.237,11,0.526,-8.022,0.00114,0.423,0.84,123.173
0LpwaDYfgFL34JuGAhr4DF,0.0305,0.46,1,0.109,5,0.527,-10.785,0.306,0.16,0.463,80.035
6pVGh8d37m2K0uRYsc3F6d,0.0293,0.427,0,0.0633,6,0.557,-7.815,0.01,0.501,0.648,102.045
3ZJZjjKFxTqVGJ8QIYKMjp,0.0694,0.635,1,0.073,7,0.422,-3.789,0.000294,0,0.949,165.032
57QZeBhHRLiWhIpjHvKtND,0.0563,0.299,0,0.288,2,0.477,-4.948,0.0137,0.0932,0.964,145.949
783gviIdhI9Q82ugi6VW4r,0.0329,0.249,0,0.125,0,0.578,-8.838,0.747,0.00018,0.487,142.046
5fHudjMqR2LxxdgaJHZnQo,0.0488,0.352,1,0.111,0,0.459,-6.462,0.351,6.75e-05,0.624,154.703
3pJQY7UuX0DcE8pgLZhCjf,0.0274,0.414,1,0.151,2,0.585,-5.075,0.000686,0.000132,0.556,142.144
7tHX5FHFc8XXgKU4uDcQvN,0.0824,0.506,1,0.11,1,0.483,-9.939,0.28,0.537,0.695,130.764
70SjyVMzhmMeJQD8hOmIBp,0.0476,0.607,0,0.123,5,0.732,-3.717,0.0459,3.11e-05,0.789,107.978
1MglqgabKH4iSkw8xHJ0J9,0.103,0.568,0,0.878,11,0.386,-8.089,0.0285,0.897,0.917,127.315
