id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
53L6A3I9vf7rgEZnMzx54E,0.0469,0.617,0,0.246,2,0.495,-5.336,0.0025,0.0783,0.931,104.05
3tRqWoZuQtOfG54Vd6nNdq,0.0427,0.438,0,0.183,2,0.536,-7.606,0.0036,0.668,0.73,97.206
31OaV0P9FVy0l0ITDoEoIa,0.24,0.612,1,0.115,0,0.452,-5.154,9.17e-05,0.156,0.882,168.994
4Sfa7hdVkqlM8UW5LsSY3F,0.0368,0.445,1,0.315,11,0.566,-5.526,0.0338,0,0.755,101.006
4GRaa1CkDXnZ4bLNw7aYFa,0.0916,0.753,1,0.142,9,0.501,-5.16,0.478,2.35e-05,0.928,159.787
1YM7fNEGrM1QSuRFHmIdQG,0.28,0.223,1,0.105,11,0.553,-2.93,0.314,0.0126,0.936,166.852
3LbXPKUPANdLSxENkV0i2f,0.0438,0.744,1,0.376,5,0.482,-5.484,0.000282,0,0.841,148.024
34v7Zs9a64h1xC3PWrmypP,0.0532,0.82,0,0.528,7,0.79,-4.704,0.0275,0.369,0.692,100.264
2zlOCBcS1CCIUkgpz78ahY,0.0313,0.308,0,0.288,7,0.577,-7.028,0.238,0.884,0.731,138.251
78XJJu79UWAK1vTrqdRqvh,0.0351,0.665,0,0.199,9,0.485,-4.614,8.84e-06,0.664,0.913,144.02
3tvhWi9FFi3UMBpviIMdlA,0.0586,0.318,0,0.154,4,0.388,-3.663,0.000978,0,0.896,81.414
5rL8ffbAjpGYroz3HfuiVl,0.0764,0.462,1,0.071,2,0.566,-4.783,0.00282,0.00105,0.804,127.568
6ZpJrxd7zlclMxWLCcbxrW,0.0492,0.481,1,0.135,7,0.498,-6.048,0.51,0.0107,0.909,146.989
4HRa9ZWcmZ8JD7UySPu0wT,0.0753,0.79,0,0.0969,1,0.611,-3.751,0.00183,0.0995,0.948,133.004
3iVAyrTlbWGBq0laeQ18z2,0.0459,0.726,0,0.0588,5,0.87,-5.541,0.245,6.76e-06,0.699,126.967
1fpfYMT2RTc5W3Zluq5xVA,0.487,0.777,1,0.164,2,0.685,-9.294,0.235,0,0.61,127.932
6JvfBzqZmSiEG5MjM7OcSY,0.336,0.661,1,0.109,1,0.637,-6.927,0.713,0.000113,0.503,81.061
564oa00vY05d1uYnTEAAmE,0.286,0.754,1,0.105,7,0.885,-5.487,0.656,4.42e-06,0.595,148.034
7L9g4cPfohScjJ8mGwLQWr,0.152,0.78,0,0.874,10,0.775,-5.339,0.397,0,0.707,104.979
5v0C3nNNDMhZ3nWzzP0W4T,0.0605,0.419,0,0.0938,4,0.795,-18.345,0.0273,0.000129,0.529,117.009
5mSJgLW43dmFEMK50ECr0S,0.0674,0.69,1,0.494,1,0.629,-5.414,0.0498,0.0104,0.749,130.016
60ZZNXIdwgUGkVGRt7foLT,0.786,0.295,0,0.308,9,0.442,-11.354,0.278,0,0.446,51.539
7jaYiqwCFQDdtxfQaSzZuM,0.193,0.405,0,0.0831,4,0.849,-7.069,0.0303,0,0.703,115.052
6CTG85NJI1Wm60pxTSRNwL,0.263,0.283,1,0.261,8,0.526,-4.576,0.316,0.000384,0.936,81.305
2FTGmG9PvlXEERkb1sYBE3,0.379,0.639,0,0.658,5,0.471,-6.852,0.116,0,0.839,115.79
4u8031pTkTODbRaDCbx8Yv,0.0581,0.738,0,0.116,10,0.787,-8.376,0.544,0.00148,0.579,81.68
6zWU7YALeEDMcPGhKKZJhV,0.26,0.364,0,0.248,6,0.686,-7.398,0.114,1.16e-06,0.592,89.013
15EPc80XuFrb2LmOzGjuRg,0.132,0.445,0,0.0864,1,0.728,-8.417,0.133,0,0.607,129.938
2Yi7Bh4OFdRfgzWptNR8Ob,0.0499,0.17,1,0.0779,3,0.762,-18.287,0.845,0.927,0.18,101.809
3eB4rqVk93cQpxXUtdZr5K,0.417,0.421,1,0.236,2,0.846,-8.415,0.509,2.76e-05,0.366,81.179
1NFjjAIK4IWjDLzpMry0Kp,0.0398,0.753,0,0.256,1,0.818,-4.219,0.0642,0.256,0.858,119.605
3g86N0SqyfxEVNMHlmW3RE,0.0376,0.736,0,0.0912,10,0.457,-5.61,0.209,5.11e-06,0.883,99.937
3kwRiuw2oJoArGs3EusCgn,0.0446,0.553,1,0.489,5,0.693,-8.435,0.192,0.000925,0.695,120.015
49sqQIS868rKIy5NBUmJV6,0.0428,0.645,0,0.424,5,0.649,-7.754,0.277,0.154,0.878,109.984
6FvjAQqC2L0B3TTANybitI,0.0541,0.171,1,0.0924,5,0.703,-14.283,0.852,0.637,0.237,107.992
43A8FeaAetF2Imc28DX29I,0.0301,0.277,0,0.109,10,0.623,-7.511,0.022,0.00108,0.647,107.996
3DjYU54tU6YCEy822r8TcY,0.245,0.329,0,0.0708,5,0.471,-7.782,0.363,0.000242,0.699,170.114
5lJH3o6AFW9Aig1CdRdAF1,0.337,0.199,0,0.676,5,0.323,-5.292,0.459,2.81e-06,0.558,73.552
1lRzHXieZLp1NNoqopBLkf,0.205,0.411,0,0.314,0,0.609,-4.113,0.12,0,0.684,169.765
49VY7zaIgfNI96qdK1Xi2l,0.248,0.0723,1,0.133,5,0.767,-9.231,0.739,0.903,0.532,80.032
6jl01C724Mk68qlOQLco5I,0.274,0.84,0,0.274,9,0.959,-8.145,0.316,0,0.524,119.933
3kxfsdsCpFgN412fpnW85Y,0.0941,0.607,1,0.123,1,0.745,-10.425,0.172,0.00943,0.356,160.033
2xD7RvKFJl52xyds3wQFXQ,0.258,0.488,0,0.101,2,0.578,-4.858,0.675,0.000178,0.77,160.862
5mHVURjIu3spVJSGjQ3kXS,0.0417,0.777,1,0.0624,5,0.638,-7.52,0.0447,0.411,0.834,100.038
5D75FuywOiKjfmpmmobk8v,0.0591,0.454,1,0.128,8,0.744,-5.92,0.00732,2.12e-06,0.716,100.048
4tfyFSSliCwsxCAVUBWyD8,0.121,0.228,0,0.119,11,0.43,-11.212,0.209,0,0.476,86.378
5FX89IUKm9QJT9ymrmyK4k,0.237,0.843,0,0.109,11,0.865,-7.359,0.223,5.39e-05,0.472,130.011
0HU8CeTestQjoRF2ekaLqx,0.247,0.695,0,0.108,6,0.735,-7.464,0.295,0,0.639,158.865
7HmCoTbkdV6BA8tPDBoyD9,0.307,0.68,0,0.0795,9,0.808,-6.464,0.273,0,0.856,100.196
276zciJ7Fg7Jk6Ta6QuLkp,0.124,0.919,0,0.296,10,0.82,-6.151,0.328,0.00155,0.908,98.381
5o2r7507gCOYdRMeR3noqZ,0.287,0.613,0,0.176,9,0.928,-9.35,0.105,0,0.481,134.007
6F609ICg9Spjrw1epsAnpa,0.249,0.347,0,0.113,10,0.607,-11.076,0.0773,0,0.476,122.976
11KJSRSgaDxqydKYiD2Jew,0.117,0.392,1,0.102,7,0.804,-7.805,0.0573,3.49e-05,0.648,117.983
1xznGGDReH1oQq0xzbwXa3,0.0532,0.371,1,0.351,1,0.791,-5.886,0.00784,0.00423,0.619,103.989
75Eyv6gTsLyP80G9fEizmw,0.0621,0.347,1,0.0705,6,0.369,-9.618,0.19,0.637,0.86,98.463
47Zqlw3jmibtVPy8usPjBj,0.158,0.573,1,0.404,8,0.563,-4.753,0.128,8.47e-06,0.917,92.074
