uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:3DDGhkxq3FeUorZppSgeLE,0.035,0.278,1,0.0999,10,0.314,-10.191,0.935,0.0258,0.286,172.021
spotify:track:4JehYebiI9JE8sR8MisGVb,0.0628,0.472,0,0.0563,11,0.508,-5.908,0.272,0,0.72,79.983
spotify:track:5AnCLGg35ziFOloEnXK4uu,0.0315,0.201,1,0.113,0,0.583,-5.407,0.111,3.57e-06,0.655,119.759
spotify:track:4eumFsTnduH3zRfaASoAPs,0.0297,0.423,1,0.131,11,0.54,-5.307,0.88,0,0.265,61.975
spotify:track:34gCuhDGsG4bRPIf9bb02f,0.0295,0.591,1,0.184,2,0.781,-6.061,0.474,0,0.445,78.998
spotify:track:75JFxkI2RXiU7L9VXzMkle,0.0243,0.212,1,0.11,5,0.56,-7.224,0.727,1.71e-05,0.442,146.448
spotify:track:22PMfvdz35fFKYnJyMn077,0.036,0.481,1,0.104,10,0.62,-4.848,0.332,0,0.832,144.926
spotify:track:0VZ9xPNa6ROafP6GYYuv2S,0.0287,0.492,1,0.108,0,0.366,-8.456,0.829,1.67e-05,0.269,86.577
spotify:track:0ENSn4fwAbCGeFGVUbXEU3,0.0347,0.289,0,0.0872,5,0.481,-6.095,0.336,0,0.451,157.966
spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,0.0355,0.0765,1,0.0913,2,0.407,-8.822,0.857,2.89e-06,0.147,141.284
spotify:track:135cNW8kQtiTId7qcsJfVC,0.0273,0.182,0,0.128,10,0.477,-4.427,0.00995,0,0.696,143.989
spotify:track:3pD0f7hSJg2XdQ6udw5Tey,0.0709,0.432,1,0.573,7,0.687,-4.751,0.122,0.00102,0.723,76.0
spotify:track:2afCBiru10AFckfOa49wIa,0.0274,0.356,1,0.0986,1,0.574,-6.829,0.22,0,0.329,130.993
spotify:track:7IHOIqZUUInxjVkko181PB,0.0377,0.176,1,0.11,0,0.5,-6.535,0.566,0.000193,0.418,84.899
spotify:track:0y2IYKinRnwvL4xDXoMytJ,0.0254,0.364,0,0.298,11,0.564,-8.886,0.0195,0,0.499,106.052
spotify:track:1NarGDteHRuDA9OfGyQ2MG,0.029,0.288,1,0.116,2,0.624,-10.415,0.861,1.51e-06,0.28,105.087
spotify:track:44jGrgXzD1p1jCLTHrveg8,0.0277,0.243,1,0.107,8,0.389,-5.429,0.977,0.00393,0.294,88.636
spotify:track:6MSDT7tFtd6dSdwSYZcfvJ,0.0249,0.426,1,0.104,2,0.578,-5.837,0.00577,0,0.62,88.114
spotify:track:2XlqURHwaM4xmFhZm5c691,0.0297,0.134,1,0.109,2,0.586,-12.476,0.863,1.52e-06,0.138,99.576
spotify:track:0NFVg74sSsdU1gNc9xfpIO,0.0273,0.316,1,0.101,0,0.6,-7.972,0.509,0.303,0.537,78.049
spotify:track:7zUNqxNQQ44iWnI6o4Oqlo,0.0283,0.372,1,0.265,2,0.631,-11.444,0.816,1.36e-06,0.292,113.497
spotify:track:5sz2LrG6jY6u7U0g2k7kws,0.0292,0.183,1,0.605,10,0.453,-10.907,0.554,0,0.284,98.974
spotify:track:6hE0YR1upHbA7XbdbVYNo6,0.0302,0.577,1,0.178,7,0.697,-9.491,0.709,0,0.391,116.066
spotify:track:1UehyRYWHQxfj52XJbswIv,0.0365,0.243,1,0.0703,0,0.694,-11.439,0.658,0.00127,0.257,148.036
spotify:track:6kopmMZiyLmw7h66uXcXR7,0.0633,0.889,1,0.0995,1,0.699,-4.898,0.00243,0.000263,0.829,105.811
spotify:track:27jdUE1EYDSXZqhjuNxLem,0.0403,0.355,0,0.106,6,0.738,-8.915,0.0262,0.616,0.483,93.458
spotify:track:3JO8ZHz8hF9R4XUd7sGE1N,0.0259,0.364,1,0.213,9,0.528,-7.269,0.445,0,0.601,77.05
spotify:track:6ybViy2qrO9sIi41EgRJgx,0.028,0.618,1,0.0659,5,0.732,-11.775,0.883,1.1e-05,0.198,88.174
spotify:track:06XSmh92M0FIYNGC4Ss0CX,0.0363,0.221,1,0.112,0,0.648,-10.475,0.822,2.41e-05,0.31,140.01
spotify:track:6xMVdou3C80O1Zl2ttoNtX,0.0434,0.263,1,0.843,2,0.535,-12.667,0.827,0,0.275,89.518
spotify:track:4owo0j5bw45IqiHxsTzcd6,0.0314,0.668,1,0.335,0,0.772,-7.201,0.0582,1.79e-06,0.588,90.034
spotify:track:0ch2Kak83EQfELghu7ATRR,0.0287,0.716,1,0.886,7,0.65,-7.64,0.557,1.35e-06,0.773,124.041
spotify:track:5VUMHDQc6z3uzzLeKtPB8F,0.0473,0.653,1,0.684,9,0.46,-6.782,0.224,0,0.803,186.13
spotify:track:55Axnw0rDCTWDHWelkC0uu,0.0272,0.84,1,0.697,9,0.615,-7.177,0.154,0,0.668,92.022
