uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:0rHct5QPUUlNEQml8GfglW,0.128,0.632,0,0.11,7,0.829,-11.228,0.345,0.00866,0.399,147.944
spotify:track:4T5cqerbDXueYSVfXkIITo,0.0468,0.787,1,0.062,0,0.604,-5.227,0.0756,0,0.761,88.04
spotify:track:5p9XWUdvbUzmPCukOmwoU3,0.0438,0.653,1,0.108,0,0.582,-5.719,0.233,0,0.764,100.455
spotify:track:06ZpMjkNdIDKVf3mK29UiC,0.0349,0.569,1,0.066,0,0.722,-3.939,0.0447,1.28e-05,0.84,124.003
spotify:track:2zDt2TfQbxiSPjTVJTgbwz,0.0962,0.524,1,0.105,4,0.724,-4.219,0.409,0,0.628,99.898
spotify:track:6TtEsPJua1fXgiaYSjo4JD,0.0619,0.937,0,0.0736,1,0.725,-8.576,0.841,0,0.408,92.07
spotify:track:0ofbQMrRDsUaVKq2mGLEAb,0.0312,0.418,0,0.104,7,0.768,-4.323,0.186,3.8e-05,0.517,104.992
spotify:track:5M5ySjWYS4s6hi2pEvEwb5,0.192,0.821,1,0.0602,6,0.385,-4.099,0.00197,0.0167,0.975,204.397
spotify:track:1OAh8uOEOvTDqkKFsKksCi,0.0688,0.632,0,0.118,0,0.671,-3.094,0.0329,0,0.672,97.98
spotify:track:3DXncPQOG4VBw3QHh3S817,0.0367,0.811,1,0.167,7,0.609,-4.284,0.0552,0,0.668,80.924
spotify:track:5JRVGS8GZVGckihBWwWEzJ,0.125,0.536,0,0.25,11,0.618,-7.228,0.124,0,0.746,145.799
spotify:track:0lwrkYbCwtAWTI0OIWEnd6,0.0367,0.522,1,0.093,10,0.493,-6.461,0.469,0,0.509,188.399
spotify:track:6OZh916QF8XNunWaP97WEZ,0.0785,0.581,1,0.307,9,0.459,-6.983,0.453,0,0.587,113.901
spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,0.135,0.619,0,0.068,4,0.775,-4.985,0.18,7.26e-05,0.679,166.008
spotify:track:1BuSbqff6EcL8gkdkjaB63,0.3,0.597,0,0.183,7,0.506,-6.827,0.229,0,0.872,114.982
spotify:track:7wGoVu4Dady5GV0Sv4UIsx,0.0984,0.119,0,0.142,5,0.577,-6.594,0.13,9.03e-05,0.522,159.772
spotify:track:6wqRHXRG301Xedy3wBCCwo,0.106,0.722,0,0.192,2,0.842,-10.548,0.53,0,0.441,128.028
spotify:track:7k68VkKrBCigSF7UTHDj23,0.0658,0.384,0,0.358,6,0.713,-4.429,0.00955,0,0.87,123.987
spotify:track:76cy1WJvNGJTj78UqeA5zr,0.0851,0.525,1,0.0773,7,0.836,-5.66,0.0433,0,0.552,97.036
spotify:track:6m3FkZd9SZ8q2w1eTzckgJ,0.0618,0.678,1,0.843,4,0.669,-4.997,0.61,0,0.841,162.957
spotify:track:4aWmUDTfIPGksMNLV2rQP2,0.17,0.846,1,0.112,2,0.66,-4.757,0.209,0,0.786,177.833
spotify:track:1WniHvhq9zTkny0WvGXX8o,0.0643,0.91,0,0.163,8,0.859,-3.36,0.168,4.65e-05,0.756,102.033
spotify:track:3H8wo1QJhZ8dJ4Ye4nCkv0,0.0789,0.961,1,0.0738,6,0.685,-2.642,0.43,2.12e-06,0.902,90.038
spotify:track:1zhfU6YXa2pXUAQdG1NvBZ,0.0645,0.782,1,0.0706,1,0.895,-1.214,0.177,0.000196,0.691,129.969
spotify:track:1bUazU9SSOh02AdlOPeTvm,0.0565,0.793,0,0.055,11,0.91,-2.294,0.468,7.63e-05,0.741,95.008
spotify:track:0u8aj0c4IxeVSLTUuuq9V5,0.069,0.887,0,0.0697,9,0.854,-5.818,0.374,0,0.682,98.023
spotify:track:7KBfjlQ85Fqs2MCCvXSW0c,0.0856,0.556,0,0.179,10,0.957,-5.353,0.826,0.0205,0.667,132.01
spotify:track:4FHw39Ke6pVt5tNKvLr4r3,0.258,0.691,1,0.313,2,0.648,-6.323,0.196,0,0.833,135.666
spotify:track:1e315r3zQjsng2z952ePQ1,0.069,0.905,1,0.0322,0,0.688,-3.853,0.299,0,0.92,156.006
spotify:track:56gpstNB96id9ngmImIkaH,0.083,0.373,1,0.142,2,0.509,-5.516,0.0123,0,0.567,172.724
spotify:track:6gquljDBW7rE6mCBzmTRxo,0.0509,0.648,1,0.965,7,0.598,-3.383,0.255,0,0.885,113.919
spotify:track:6zCqeUUqLb2CapBmVwAHll,0.0636,0.848,0,0.401,8,0.647,-3.147,0.0916,0,0.93,133.966
