album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,199783,4l8f1sX5rJyUphT1PfG98v,Every Little Thing,59,0.0175,0.525,0.776,0.000247,0,0.573,-6.385,1,0.0477,95.004,0.263
"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,236941,4AjBIRQNZDDVB0MrGlQHvB,Get Yourself Together,59,0.149,0.443,0.868,0.043,7,0.651,-6.145,0,0.0565,157.948,0.622
Songs For The Deaf,4w3NeXtywU398NYW4903rY,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,187146,0wzRcekWyVCSyPtlPOeJau,Go With The Flow,66,0.00944,0.246,0.991,0.0753,9,0.867,-3.903,1,0.087,159.39,0.415
El Pintor Bonus Tracks,6c6UpcXFRXg1699EaP0C2G,Interpol,3WaJSfKnzc65VDgmj2zU8B,274147,07LiCP1tH02mnSZCCuPtwl,Malfeasance,26,3.95e-05,0.25,0.934,0.652,9,0.251,-4.812,0,0.0901,122.953,0.692
New Misery,4voLdwuVKjqm7JAi7GNh1k,Cullen Omori,0P0xfWeg32j9iUTHCullrj,202853,6UkjGT40uDh1RrEzRSSIm9,Synthetic Romance,36,0.00459,0.524,0.829,2.05e-05,5,0.0989,-2.663,0,0.0295,112.011,0.465
Bluff,7s4GMpCgU0pbUnenzkz0qk,Futuro Pelo,5EqHv5lvGgrnkuGEFn67yN,170704,1bu40exx9NMy6WFgbMHdmy,Swamp,50,0.0212,0.812,0.595,0.118,3,0.0984,-7.852,0,0.0572,142.058,0.879
Raspberry Jam,2L8OeILKoTrzQr8swQx2Ys,Allah-Las,2yDodJUwXfdHzg4crwslUp,228306,3i2pAVmEzBgJIHtIMkNQBJ,Raspberry Jam,51,0.0031,0.563,0.623,0.962,9,0.0886,-5.972,0,0.026,100.032,0.653
Because Of The Times,5CiZOqd3iF6p2PsqBjljat,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,430346,28rNyM2CKtOb4PYmsulQhF,Knocked Up,55,0.268,0.382,0.688,0.0928,9,0.184,-12.569,1,0.0419,121.352,0.207
Intermission,74F5VCxtj34TsBDAT7ktZf,No Vacation,32zeX1IoVKAGWMyy1isKUq,216038,20eUJdVdiAckB6GlgiletW,Yam Yam,13,0.319,0.445,0.591,0.766,7,0.107,-9.004,0,0.0316,137.864,0.0774
Bad Habits,3Fl7L9k1lioUgs4f9X7jSo,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,180968,3tNMevknMvnyS7GYZ2KUGI,Bad Habits,1,0.000517,0.52,0.642,0.0017,9,0.0794,-7.546,1,0.0434,88.967,0.449
InnerSpeaker,1DNSmmRLfv97Yjq7MTFWng,Tame Impala,5INjqkS1o8h1imAzPqGZBb,265106,7r7yAFxq6CwakQB5NrJskh,The Bold Arrow Of Time,47,0.799,0.337,0.511,0.567,0,0.297,-6.645,1,0.0372,122.91,0.27
Turn Blue,6TvxpBzf9c8H1fsrAaQ8t3,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,278106,3OpoDVx3Ct42RM68Bvffvy,In Our Prime,55,0.077,0.279,0.626,0.00394,11,0.118,-7.095,1,0.0342,77.513,0.342
Bonança,67Glzjfp0kDWz7D1VFIZw3,Esquimós,6VVqkFB3MAmABN79OLFxnt,237026,2EsiuZVBgV44kYc7d8q3Qh,Bonança,6,0.516,0.217,0.485,0.451,2,0.139,-14.58,0,0.133,184.055,0.193
Currents B-Sides & Remixes,04uXkrNhFJ1iWEo88MGPva,Tame Impala,5INjqkS1o8h1imAzPqGZBb,258706,7nmtH3cyqEmKz8F09V60yO,Powerlines,56,0.0323,0.544,0.889,0.0232,2,0.35,-6.269,1,0.0485,104.962,0.326
The Universe Smiles Upon You,2OPcQNLP8DQVumD8kBRAH3,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,159013,2OQ1V0e2O56AeIo4ywuYKF,People Everywhere (Still Alive),63,0.043,0.551,0.648,0.655,7,0.41,-13.088,1,0.0627,109.209,0.807
Tetsuo & Youth,7F58zK8t8whSFjX5X09d28,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,516000,1dx9EdvyNujagtQzgNPPFC,Prisoner 1 & 2 (feat. Ayesha Jaco),46,0.39,0.548,0.724,0.0,7,0.469,-6.681,0,0.275,110.066,0.481
Cozy Tapes: Vol. 1 Friends -,3RaACfwYTY9uiDy3VSWLLc,A$AP Mob,7yO4IdJjCEPz7YgZMe25iS,230920,5VnpYqIzm02X9gOhVElQo3,Telephone Calls,65,0.194,0.732,0.772,1.54e-06,2,0.242,-6.142,0,0.267,123.009,0.493
Yamborghini High,788rHiWVrWzM8dF7IiumCB,A$AP Mob,7yO4IdJjCEPz7YgZMe25iS,302004,2rqUblDWJKlMVwh9uJc0Vv,Yamborghini High,72,0.0283,0.838,0.765,1.5e-05,7,0.0779,-6.299,1,0.28,137.767,0.635
Plain Jane REMIX,0bVY8ZE63UQOyJQsjjidVn,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,202636,2YzmfPLqUx5CJOaw5ThsBV,Plain Jane REMIX,70,0.0588,0.791,0.839,6.26e-05,11,0.259,-4.284,1,0.266,170.113,0.383
Who Dat Boy / 911,0RffqgthNhj28TMkTUc4h3,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,205093,1a0wEEHipnBR7WOHFA6ucQ,Who Dat Boy,51,0.337,0.706,0.485,0.0,8,0.122,-9.671,1,0.331,115.414,0.144
